CODE3,EXPL3,STATE,
717,Warren Dermatology & Allergy,OH,
718,Warren Tripp MD & Associates,CO,
71A,W W G Inc,FL,
71B,Wabasha Clinic,MN,
71C,Waco Bone & Joint Clinic,TX,
71E,Waco Surgical Group,TX,
71F,Wade Townend Pediatrics,PA,
71G,Wadsworth Pediatrics,OH,
71J,Waianae Coast Cmprhnsv Health C,HI,
71K,Waimanalo Health Center,HI,
71M,Wake Forest Pediatric Assocs,NC,
71N,Waldo Rehabilitation,MO,
71R,Walla Walla Eye Center,WA,
71W,Pulmonology/Crit Care Phys,OH,
71X,Physicians Health Alliance,PA,
722,Philadelphia Hypertnsn/Neph,PA,
723,Philadelphia Inst Dermtlgy,PA,
726,Atlantic Adult/Pedtrc Medcn,DE,
728,Pocono Oral/Maxillofacial Sgy,PA,
729,Podiatric Surgical Assocs,NY,
72B,Warsal & Amurao MD,DE,
72E,Wasatch Peak Family Practice,UT,
72G,Feldman Medical PC,NY,
72H,Washington Medical Clinic,IA,
72J,Washington Plastic Sgy Grp,VA,
72L,Pulmonary Medicine Assocs,OK,
72N,Parkville Medical Group,AZ,
72O,Pennsylvania Neurosgy/Neurosc,PA,
72Q,Personal Physicians Care,FL,
72R,Personal Physicians HlthCare,MA,
72S,Peterson Laboratory Services,KS,
72W,Physicians Affiliated Care,KY,
72Y,St Lukes Clinic Physicians Ctr,ID,
72Z,Physicians Center Physician Med,MI,
731,Premier Women's Care,AL,
732,North Raleigh Medical Center,NC,
734,North Pointe OB/GYN Assocs,GA,
736,North Park Pediatrics,MD,
738,Nagan Arregui & Davis MDs,IN,
739,Associates In Nephrology,PA,
73A,Florida Institute Family Med,FL,
73B,Point Plaza Family Practice,NJ,
73C,Pollack Barbaccia & Guzman,NY,
73D,Pontiac Anesthesia Care,MI,
73F,Portland Foot & Ankle,ME,
73H,Potomac Pediatrics,MD,
73K,Preferred Pediatrics,VA,
73M,Premier Healthcare,OH,
73N,Premier Medical Group,FL,
73O,Premier Plastic Surgery,KS,
73P,Podiatry Group,AR,
73R,Premier Primary Care Physcns,VA,
73U,North Jersey Pediatrics,NJ,
73V,North Key Community Care,KY,
73Z,North Tampa Psychiatric Asscs,FL,
741,Port St John's Diagnostics,FL,
742,Portage Heart Care,IN,
743,Porter Goldberg & Martin DDS,NJ,
744,Poth Alexander & Shapiro MDs,CA,
745,Neshaminy Medical PC,PA,
749,Primecare Medical Associates,PA,
74D,Primary Care Systems Inc,WV,
74F,Prime Care Family Practice,VA,
74G,Pediatric Emergency Medicine,OH,
74J,Prime Medical Associates,IL,
74S,Native American Cardiology,AZ,
74U,Nakasone Teruya Tanoue Yoshino,HI,
74X,Pueblo Family Medicine,CO,
74Z,Pulmonary Dis/Critical Care,CA,
751,Psychotherapy Assocs Boone,NC,
752,Psychiatric Consltnts/Thrpsts,WI,
754,Psychiatric Associates,NJ,
759,Midwest Radiation Onclgy Cons,IL,
75B,Wright French & Risher,KY,
75C,Cardiovascular Associates,AL,
75E,Pro Sport & Pro Spine,FL,
75F,Proscan Imaging,OH,
75G,Professional Care Services,TN,
75M,Professional Radiology Inc,OH,
75N,Progressive Medical Group,CA,
75P,John A Moran Eye Center,UT,
75Q,Pulmonary/Crit Care Consltnts,OH,
75R,Pulmonary/Crit Care Assocs,NY,
75S,Pulmonary Practice Associates,FL,
75T,Pulmonary Physicians Norwich,CT,
761,Waycross Internal Medicine,GA,
762,Wayne Family Practice,GA,
763,Watsonville Health Center,CA,
765,Waterbury Anestheslgy Assocs,CT,
766,Medical Associates Of Erie,PA,
768,Washtenaw Intrnl Medcn Assocs,MI,
769,Park Avenue Radiologists PC,NY,
76A,Prompt Care,VA,
76B,Progressive Eye Care,IL,
76C,Professional Radiology Svs,KS,
76D,Primary Care Group West,GA,
76H,Women First,KY,
76I,Women First OB/GYN Assocs,MD,
76J,Women's Health Consultants,IL,
76M,Michigan Orthopedic Institute P,MI,
76P,Webster City Medical Clinic,IA,
76R,Wayne Heart & Internal Medcn,NC,
76S,Waynesville Family Prac Ctr,NC,
76T,Women's Care Of Beverly Hills,CA,
76W,Waushara Family Physicians,WI,
76X,Waverly Clinic,TN,
773,Russellville Eye Clinic,AR,
776,West Yavapai Guidance Clinic,AZ,
779,Women's Specialists,TX,
77A,Ashton Podiatry Associates,TX,
77C,Clinical Cardiovascular Assocs,MO,
77E,Welch Allan & Hatch MDs,ID,
77F,Welch Eye Center,LA,
77L,Women's Health Center,LA,
77M,Women's Health Center,CO,
77N,Wellsboro Laurel Health,PA,
77O,Women's Health Center,MN,
77P,Women's Health Center Lebanon,PA,
77Q,West Alabama Emergency Phys,AL,
77R,South Coast Medical Group,CA,
77T,Roybal Family Mental Health,CA,
77V,Rupert Medical Center,ID,
77Y,Rural Health Services,TN,
784,Westlake Village Urgent Care,CA,
785,Phoenix Physicians LLC,FL,
786,Women's Health Associates,GA,
787,Women's Health Care Assocs,PA,
789,Women's HealthCare Center,TX,
78A,Women's Specialty Center,MS,
78E,Women's Health Center Jackson,WY,
78F,Women's Health Institute,NM,
78G,South Bay OB/GYN,CA,
78I,Women's Medical Center,NM,
78K,West Ventura Medical Clinic,CA,
78M,West Bay Surgical,RI,
78O,Woodinville Pediatrics,WA,
78S,Women's Center,FL,
78V,Women's Healthcare Assocs,MD,
78W,Women's Pavilion,KY,
78Z,Westgate Family Physicians,SC,
795,Piedmont Sports Medcn/Ortho,GA,
796,Willis Falkenberg Eye Care,VA,
797,Williamsville Pediatric Ctr,NY,
798,Whole Health Chicago,IL,
79J,Wexler Dermatology,NY,
79K,Whetstone Medical Clinic,OH,
79O,Whitaker Wellness Institute,CA,
79T,White Mountain Mental Hlth,NH,
79U,White Oak Family Physicians,NC,
79V,Women's Integrated Healthcare,MI,
79W,White River Diagnostic Clinic,AR,
79Y,Women's Health Pavilion,NY,
7A2,Arthritis Consultants Inc,MO,
7A4,Arizona Center Chest Diseases,AZ,
7A6,Arizona Wellness Ctr For Wmn,AZ,
7A8,Associated University Nrsgns,IL,
7AA,Central Virginia Neurosurgery,VA,
7AB,ABC Pediatrics,WV,
7AC,Clinica Hispana,TX,
7AE,CML Del Valle Medical Group,CA,
7AG,Bay Area Digestive Hlth Med Grp,CA,
7AH,Metropolitan Radiology,VA,
7AI,Sugar Lakes Family Practice,TX,
7AL,Aurora Family Practice Group,CO,
7AN,Associates In Neurology Pittsbu,PA,
7AO,Associates In Neurology,MI,
7AQ,Apple Hill Vascular Assocs,PA,
7AT,Nephrology Associates,NC,
7AU,Monadnock Family Services,NH,
7AV,Schmid Rouse & Edmondson DOs,MI,
7AW,Clayton Medical Associates,MO,
7B1,Hill Country Pediatrics,TX,
7B2,Forensic Medical Group,CA,
7B3,Hillcrest Surgical Med Grp,CA,
7B6,Sacramento Hematology/Onclgy,CA,
7B8,Highland Family Health,NY,
7BA,Baptist Anesthesia Assocs,KY,
7BF,Herrin Sykes Swann & Peleaux,NC,
7BG,Hershey Pediatric Center,PA,
7BN,Hickory Family Practice Assoc,NC,
7BQ,Westmoreland Emergency Specs,PA,
7BS,Blue Springs Family Care PC,MO,
7BT,Goldschlager Girolami Chimenti,CA,
7BW,Highmore Clinic,SD,
7BX,Hillcrest Clinic,TX,
7BZ,Fort Wayne Pediatrics,IN,
7C1,Covina ENT Medical Group,CA,
7C3,Chester Cnty Hemtlgy/Onclgy Svs,PA,
7C6,Central Kentucky Anesthesia,KY,
7C9,Center For Plastic Sgy PC,VA,
7CB,Casco Bay Surgery,ME,
7CC,Coastal Bend Womens Center,TX,
7CD,Fresno Oral Surgery,CA,
7CF,Northeast Community Clinics,CA,
7CG,Fink McElroy Papatheofanis,CA,
7CJ,Center For Bone & Joint Dis,FL,
7CK,Fine Hoffman & Packer LLC,OR,
7CM,First Podiatry Of Arizona,AZ,
7CR,Christopher Rural Health,IL,
7CS,Hillmont GI,PA,
7CU,Highland Park Surgical Associat,NJ,
7CW,Creekwood Internal Medicine,MO,
7CX,Hill & Chapnick MDs Inc,OH,
7CY,Hill Country Community Clinic,CA,
7D3,Jofe Eye Institute,NY,
7D4,Straka & Mcquone Inc,PA,
7D6,Bay Clinic Inc,HI,
7D7,Los Banos Medical Group,CA,
7DG,Hinsdale Anesthesia Assocs,IL,
7DJ,Emergency Practice Associates,MN,
7DL,Fall Hill Gastroenterology,VA,
7DM,Fall River Health Services,SD,
7DN,Families R Us Care Center,FL,
7DO,Family & Children's Services,OK,
7DR,Pathology Assocs Silver Sprng,MD,
7DV,Family Care Clinic,NC,
7E1,Joshi & Merchand MD,MD,
7E3,Joint Implant Surgeons Inc,OH,
7E4,White Scott & Jonah MDs,KY,
7E6,Junction City Medical Clinic,OR,
7E8,Lawrenceville Neurology Ctr,NJ,
7E9,Lawrenceville Pediatrics,GA,
7EG,Johnson City Internal Medcn,TN,
7EH,Century Radiology Associates,CA,
7EJ,Jones Eye Institute,AR,
7EP,Johnson County OB/GYN,KS,
7ES,Jurgens & Kneezel Ltd,IL,
7ET,Juva Skin & Laser Center,NY,
7EU,Green County Healthcare,NC,
7EW,Cobb Women's Health,GA,
7EX,Joseph M Steel's Burn Centers,GA,
7F1,Leominster Medical Associates,MA,
7F3,Lerman Diagnostic Imaging Ctr,NY,
7F4,Lerner Eye Center,CA,
7F5,Levene Joiner Mays MDs PC,AL,
7F7,Levin & Luminais Eye Assocs,PA,
7F9,Lewis County Family Health,KY,
7FA,Sooner Radiology,OK,
7FB,Lazenby Eye Care Center,FL,
7FD,Le Sueur Clinic,MN,
7FG,Eye Associates Of Sebastopol,CA,
7FH,Kahn Chalison & Jasper Inc,CA,
7FI,Tustin-Irvine Int Medcn Grp,CA,
7FJ,Lee's Summit Physicians Group,MO,
7FK,Lee Davis Medical Associates,VA,
7FP,Lee Family Practice,MA,
7FQ,East Albany Medical Center,GA,
7FU,Kaanehe Nada & Ono MDs,HI,
7FW,Life Management Center,FL,
7FY,Lifespring Mental Health Svc,IN,
7FZ,Life Counseling Services,PA,
7G2,McLeroy Gibbs & Klein MDs,TX,
7G6,Madison Ridgeland Child Clin,MS,
7G7,Madison Womens Health/Fertlty,NY,
7G9,McMahon & Ricketson MDs,FL,
7GA,Lewis Gotlieb Saltzman MDs,FL,
7GC,Lemon Bay Physicians Inc,FL,
7GD,Lenape Valley Foundation,PA,
7GF,Lenox Avenue Health Center,NY,
7GH,Lensing Wein Eppich MDs,TX,
7GM,Goldman Goldstein Herman MDs,NY,
7GO,Lifetime Of Aventura,FL,
7GQ,Lifepath Systems,TX,
7GR,MTH Clinic,OR,
7GT,Cornea Consultants,NY,
7GU,MSURS MD Associates PC,PA,
7GV,Montgomery & Riddle Eye Care,SC,
7GW,Urology Health Specialists,PA,
7H3,McComb Children's Clinic,MS,
7H5,McGrath Clinic,IL,
7H8,Medsource One,OH,
7HA,Mcminn Medical Imaging,TN,
7HD,Meade Reyes & Nyak,MD,
7HK,Med Plus,SC,
7HN,Masci & Dehm Eye Associates,MA,
7HO,Mas Medical Group,FL,
7HP,Med Stop,CA,
7HY,Maxillofacial/Oral Surgery,MN,
7I1,Medical Imaging Associates,PA,
7I2,Medical Imaging Center So Cal,CA,
7I3,Medical Assocs New Brunswick,NJ,
7I5,Medical Center,GA,
7I6,Medical Center Anesthesiolgst,IA,
7I8,Medical Center Of Stafford,VA,
7I9,Medical Emergency Treatment,OH,
7IB,Medex Diagnostic Center,NY,
7ID,Mahoney Horohoe & Garneau MDs,NY,
7IF,Maine Rehabilitation Center,ME,
7IG,Maitri Health Care For Women,VT,
7IH,Mansoor Pediatrics,LA,
7IJ,Margaret S Ravits MD & Assocs,NJ,
7IL,Marion Physicians Clinic,KY,
7IM,Margiotti & Kroll Pediatrics,PA,
7IN,Marin Gastroenterology,CA,
7IO,Marquinez Mubashir & Rehman Mds,OH,
7IP,Marsh Landing Behavioral Grp,FL,
7IS,Mary Bird Perkins Cancer Center,LA,
7IT,Maryland Brain & Spine,MD,
7IU,McHenry Medical Group,CA,
7IV,Manatee Diagnostic Center,FL,
7IX,Manatee Glens Corporation,FL,
7J6,Mental Health Center,MT,
7J7,So Chester Cty Emrgncy Phys,PA,
7J8,Merced County Physicians,CA,
7J9,Mid-Atlantic Eye Physicians,VA,
7JA,Medical Eye Center,NH,
7JD,Medical Associates Fam Prac,WI,
7JG,Medical Imaging Of Manhattan,NY,
7JK,Medical Village,FL,
7JL,Medstar Foot & Ankle Center,CA,
7JM,Meek Templeton Richey Urology,LA,
7JN,Anchor Medical Group,FL,
7JO,Melhorn & Melhorn DOs Inc,VA,
7JQ,Pennsylvania Eye Associates,PA,
7JT,SCA Goldblatt Associates,PA,
7JW,Memorial Pathology Consultants,TX,
7JZ,Manhattan Physicians Group,NY,
7K2,Mission Primary Care,CA,
7K4,Mission Valley Medical Clin,CA,
7K5,Mission Viejo Radiatn Onclgy,CA,
7K8,Mitcherling Mitcherling Johnson,MD,
7KA,Mid Atlantic Pain Institute,DE,
7KC,Mercer Island Pediatric Assoc,WA,
7KD,Merced Pathology Group,CA,
7KE,Mid-Hudson Anesthesiologists,NY,
7KF,Mid-State ENT,TN,
7KG,Mid-Ohio Heart Clinic Inc,OH,
7KH,Mid-Ohio Radiology Inc,OH,
7KK,Mid-Maine Radiology Group,ME,
7KL,Midwest Vascular & Gen Sgy,MO,
7KM,Midcoast Medicine,ME,
7KN,Middletown Medical PC,NY,
7KP,Midland Women's Clinic,TX,
7KQ,Minnie A Stiff Pediatrics,VA,
7KR,Minow Janis & Corti MDs Inc Ca,CA,
7KW,Midway Clinic,KS,
7KX,Mission Family Medical Center,AZ,
7KY,Misson Mountainside Medicine,MT,
7KZ,Midwest Neurology Associates,IL,
7L1,Moore Healey & Chrzanowski Mds,FL,
7L7,Milltown Family Physicians,OH,
7L8,Mimbres Internal Medicine,NM,
7L9,Minneapolis Otolaryngology,MN,
7LE,Modesto Kidney Medical Group,CA,
7LF,Modoc Medical Clinic,CA,
7LI,Louisville Internal Medicine,KY,
7LM,Mihok Poggio & Wong DPMs,CA,
7LN,Mondragon Mcgrinder Med Assocs,NY,
7LR,Milledgeville OB/GYN Assocs,GA,
7LS,Millennium Medical Services,NY,
7LU,Moreland Internal Medicine,WI,
7LV,Morang Chester Clinic,MI,
7M1,Metabolic Medical Center,SC,
7M4,Metro Orthopedics & Sports Thpy,MD,
7M5,Metro Family Practice,PA,
7M6,Methodist Minor Medical,TN,
7M9,Metro Renal Associates,MD,
7MA,MidAmerica Neuroscience Inst,MO,
7MD,Meridian Behavioral Healthcare,FL,
7MH,Meridian Behavioral Health,NC,
7MK,Merrimac Valley Pulmonary,MA,
7MM,Meridian Youth Psychiatric,IN,
7MR,Monroe Pediatric Assocs PC,NY,
7MU,Montana Cancer Specialists,MT,
7MY,Memphis Kidney & Dialysis FMC,TN,
7N1,Murray Brand & Associates,PA,
7N3,Mountain View Medical Center,NC,
7N4,Murray Hill Medical Group PC,NY,
7NA,Morrisville Family Healthcare,VT,
7NC,North Creek Health Center,NY,
7ND,Mountain Empire Radiology,TN,
7NF,Mountain Family Health Center,CO,
7NH,Mountain Medical Group LLC,OR,
7NI,Myron L Nathan MD Med Corp,CA,
7NJ,Mountain States Oral/Maxofacl,WV,
7NL,Midwest Vascular Institute,IL,
7NU,Montgomery Eye Center,FL,
7NW,Moskovitz Graeter & Faulks PC,DC,
7NY,Mineola Eye Care,NY,
7NZ,Murphy Watson Burr Eye Center,MO,
7O1,Mid Bronx Desperados Fam Prac,NY,
7O2,New Horizons OB/GYN,IL,
7O3,Michigan Pediatric Sgy Assocs,MI,
7O4,Michigan Physicians Group,MI,
7O5,Michigan Oral Maxillofacial Sur,MI,
7O6,Michigan Oral/Mxllfcl Sgn,MI,
7O7,Michigan Head Pain & Neuro,MI,
7O8,Michigan Brain & Spine Inst,MI,
7O9,Michigan Colon & Rectal Sgns,MI,
7OF,Mulkay Cardiology,NJ,
7OG,Mullins Laboratory,GA,
7OH,Oldham County Pediatrics,KY,
7OI,Neurosci/Spine Ctr Carolinas,NC,
7OM,Moyal & Petroff MDs Inc,OH,
7OP,Miami Beach Anethesiology,FL,
7OR,Mud Creek Clinic,KY,
7OT,New Bern Urology Clinic Inc,NC,
7OV,New Hampshire Neurospine Instit,NH,
7OX,Mountainland Comm Hlth Ctr,UT,
7OY,Mid Illinois Hematology/Onc,IL,
7OZ,Mid America Surgical Assocs,KS,
7P1,Newton Frank Bickley MDs PC,MI,
7P2,Newman Physicians Group Inc,OK,
7P3,Muhlbauer Dermatopathology,NY,
7P4,New Mexico Cancer Institute,NM,
7P5,Partners Reproductive Medcn,MA,
7P6,NASA Flight Medicine Clinic,TX,
7P9,NE Ohio Pulmonology Crit Cre Sl,OH,
7PB,New Orleans Nephrology Assocs,LA,
7PC,Pediatric Clinic,TX,
7PH,PhenoPath,WA,
7PJ,Miami Ped Onclgy/Hmtlgy Assoc,FL,
7PK,New Rochelle Radiology,NY,
7PL,Miamisburg Family Practice,OH,
7PM,Pulmonary Medicine Associates,MO,
7PR,Miami Hand Center,FL,
7PS,New West Sports Med/Ortho,NE,
7PT,Miami Heart Center,FL,
7PU,Miami Institute Joint Recon,FL,
7PV,Meyer Day & Lovings MDs PC,VA,
7PW,Metrowest Pediatrics,MA,
7Q1,Newbridge Services Inc,NJ,
7Q2,Northern Virgina Center Arthrts,VA,
7Q4,Northhampton Wellness Assocs,MA,
7Q5,NW Ohio Psychiatric Hospital,OH,
7Q6,Northeast Cardiovascular,NC,
7Q7,Northeast Community Mntl Hlth,PA,
7Q8,Northeast Counseling Services,PA,
7QA,NACA Family Health Center,AZ,
7QB,New Care Medical,NY,
7QD,New Haven Medical Center,MI,
7QF,New Horizon Medical Center,MI,
7QH,Nashville Surgical Assocs,TN,
7QK,Mt Alaska Emergency Medicine,MT,
7QL,New Horizons Family Practice,KY,
7QN,North Willowgrove Pediatrics,PA,
7QQ,New London Cancer Center,CT,
7QT,New York Aesthetic Center,NY,
7QU,New York Breast/Surgical Onc,NY,
7QW,New York OB/GYN,NY,
7QX,New York Pain Center,NY,
7QY,Newark Community Health Ctr,NJ,
7R2,Midwest Sinus Center University,IL,
7R4,Northern Rockies Med Clin,MT,
7R5,Millennium Medical,FL,
7R6,Next Generation Radiology,NY,
7R8,Nigro Dermatology Group,TX,
7RE,Northeast Health Service,MA,
7RI,Naperville Clinical Assocs,IL,
7RJ,Narang & Associates,IL,
7RK,Northeast Iowa Fam Prac Ctr,IA,
7RL,Northeast Medical Practice,PA,
7RM,Northeast Nephrology Cnsltnts,IL,
7RQ,Northeast Wisconsin Vision Cent,WI,
7RR,Northeastern Nephrlgy Assocs,CT,
7RS,Northeast Ohio Inf Dis Assoc,OH,
7RW,Northern Lakes Community Mental,MI,
7RX,Northern Lights Pediatric/Adol,MN,
7RY,Northern Medical Associates,PA,
7RZ,Northern Nevada Hopes,NV,
7S4,Northshore Intrnl Medcn Assoc,LA,
7S9,Clarkson & Kidd DOs,FL,
7SA,North Broward Radiologists,FL,
7SB,Community Medical Foundation,SC,
7SC,Southern Connecticut Vsclr Ctr,CT,
7SD,North Country Orthopedic Grp,NY,
7SE,Northwoods Guidance Center,WI,
7SH,Northland Radiology Inc,MO,
7SJ,Family Health Centr San Diego,CA,
7SM,Northlake Pediatrics,GA,
7SN,Northlake Radiology Consltnts,LA,
7SQ,Northwest Imaging PC,MT,
7ST,Saint Joseph's Physicians Netwo,IN,
7SY,Northwest Urology Associates,AZ,
7T1,PCOM Cambria Health Care Ctr,PA,
7T7,Pacific Gynecology Specs,WA,
7TB,Bloomington Med Lab Phys,IL,
7TC,Anderson Nephrology Group,SC,
7TD,Northwest Neurology,GA,
7TE,Norwalk Pathology Associates,CT,
7TH,Norwich Pediatric Group,CT,
7TI,Columbus Radiology,OH,
7TL,New Beginnings Health Care,KS,
7TN,Ne-Ia-Shing Clinic,MN,
7TO,Behavioral Health Services,NY,
7TR,Nekola Szewczyk/Szewczyk MDs,IL,
7TV,Mid-South Health System,AR,
7U1,Paramount Urological Group,NY,
7U2,Paris Family Physicians,TX,
7U3,Paris Henry County Clinic,TN,
7U5,Nephrology Associates,MD,
7U6,Neonatal Medical Group,LA,
7U7,Nephrology/Internal Medicine,IN,
7U8,Nephrology Clinic,CO,
7U9,Nephrological Associates PA,NJ,
7UA,Pacific Resources Pyschlgcl,CA,
7UB,Pacific Valley Medical Group,CA,
7UD,Pain Control Center,NY,
7UE,Pain Institute Of Southern,AZ,
7UG,Pain Management Center,IN,
7UH,Pain Management Consultants,TX,
7UK,Palm Harbor Intrnl Medcn/Peds,FL,
7UM,Palo Verde Cancer Specialists,AZ,
7UO,Paloma Medical Group,CA,
7UP,Paluxy Valley MSO Clinic,TX,
7UQ,Panhandle OB/GYN,TX,
7US,Panic Anxiety/Depression Ctr,VA,
7UT,Panorama Valley GreeceOB/GYN,NY,
7UV,Panton Eye Center,IL,
7UW,Panzer Dermatology Associates,DE,
7UX,Paoletta Psychological Svs,PA,
7UY,Paramount Medical Group,CA,
7V2,Western Sierra Orthopedics,CA,
7V3,North Jefferson Medical Specs,GA,
7V4,Nevada Orthopedic/Spine Ctr,NV,
7V6,Newbury Park Urgent Care,CA,
7VA,Valley Family Health Care,ID,
7VB,Nephrology Associates Of Utah,UT,
7VC,Nephrology Center,MI,
7VD,Nephrology Group Northeast,FL,
7VE,Nephrology Consultants,TN,
7VF,Nephropathologist Associates,AR,
7VH,Neponset Health Center,MA,
7VJ,Neurological Associates,MS,
7VK,Park Center Inc,IN,
7VP,Park West Health Systems Inc,MD,
7VR,Park West Medical Care Inc,NY,
7VU,Neurological Institute Savannah,GA,
7VY,North Hudson Community Action,NJ,
7VZ,North East Community Mntl,PA,
7W2,Golden Gate Pediatrics,CA,
7W3,Patient Choice & Internal Mdcn,VA,
7W4,Pediatric Specialists,MI,
7W5,Pattner Grodstein MD FA,NJ,
7W7,Pediatrics Southwest,TX,
7WA,Parkinson & Movement Disorder,CA,
7WD,Pasadena Radiology Associates,FL,
7WJ,Pasco Eye Institute,FL,
7WM,Pasteur Clinic,FL,
7WN,Patchogue Medical Group,NY,
7WO,GI Specialists Of Houston,TX,
7WR,Pediatric Pulmonary Assocs,FL,
7WS,Pathologist Medical Lab,NC,
7WU,Pathology Lab,LA,
7WV,Pediatric Pulmonary/Asthma,NJ,
7WZ,Pediatric Staff PLLC,MI,
7X1,Piedmont Cardiology Associates,NC,
7X3,Pediatric Center LLC,GA,
7X5,Pediatric Center Of Brooklyn,NY,
7X6,Pediatric Centers Of Lee Cty,FL,
7X8,Pediatric Consultants,TN,
7X9,Piedmont Gastroentrlgy Specs,NC,
7XA,Pavilion Family Physicians,CA,
7XC,Payson Emergency Physicians,AZ,
7XD,Peace Valley Internal Medcn,PA,
7XE,Pediatrics/Adolescent Medcn,FL,
7XF,Peabody Family Care,TN,
7XG,Peak Gastroenterology Assocs,CO,
7XH,Peak Vista Community Hlth Ctr,CO,
7XI,Peak Wellness Center Inc,WY,
7XJ,Pembroke Pediatrics,NC,
7XL,Peninsula Dermatology,MD,
7XO,Pediatric & Adolescent Center,ID,
7XQ,Pediatric Associates N Atlnta,GA,
7XS,Pediatric Associates Wellesly,MA,
7XT,Pediatric Associates Latrobe,PA,
7XU,Pediatric Cardiology Assocs,CO,
7XW,Physicians Of Internal Medcn,NE,
7XZ,Pediatric Center,CO,
7Y7,Northwestern Community Svs,VA,
7Y9,Pine Bush Mental Health,NY,
7YA,Personal Physicians,IL,
7YD,Pennsylvania Cardiology Assoc,PA,
7YF,Pensacola Emergency Phys,FL,
7YG,Colorado Springs Radiologist,CO,
7YH,Betty Jean Kerr People's Health,MO,
7YJ,Perry Avenue Family Med Ctr,NY,
7YL,Pediatric Ear Nse/Thrt Atlnta,GA,
7YO,Pediatric Group West Orange,NJ,
7YP,Pediatric Group Of Honolulu,HI,
7YQ,Pediatric Health Center,GA,
7YS,Pediatric Healthcare,WI,
7YV,Pediatric Medical Center,CA,
7YY,Pediatric Ophthalmology & Adult,PA,
7Z4,Plaza Orthopedics/Sprts Medcn,LA,
7Z5,Plaza Del Rio Eye Clinic,AZ,
7Z6,Pleasant Valley Ped Med Grp,CA,
7Z8,Plum Creek Medical,CO,
7Z9,W B Carrell Memorial Clinic,TX,
7ZB,Pine Rest North Shore Clinic,MI,
7ZC,Pinehurst Anesthesia Assocs,NC,
7ZD,Pinehurst Family Care Center,NC,
7ZE,Pinehurst Nephrology Assocs,NC,
7ZG,Pinnacle Behavioral Health,OH,
7ZJ,Pinnacle Womne's Health Care,AR,
7ZL,Pioneer Family Practice,WA,
7ZP,Pittsburgh Family Foot Care,PA,
7ZR,Pittsburgh Infectious Disease,PA,
7ZS,Pittsburgh Pastoral Institute,PA,
7ZW,Plano Women's Healthcare,TX,
7ZY,Plastic Surgery Northwest,WA,
7ZZ,Plastikos Plastic/Recnstrtv,GA,
813,South Coast Therapists,CA,
816,South County OB/GYN,RI,
818,South Cumberland Med Assocs,NJ,
819,South East Georgia Hematology,GA,
81B,Synergy Medical Group,CA,
81D,Studio City Orthopedics,CA,
81H,Coast Anesthesia,CA,
81J,Southern California Inf Dis,CA,
81L,Coastal Plastic Surgeons,CA,
81M,Coastline Orthopedic Assocs,CA,
81N,Complete Women Care,CA,
81P,South Bascom Pediatrics,CA,
81Q,Comprehensive Medical Group,CA,
81T,Contemporary Healthcare,CA,
81U,South Bay Renal,CA,
81W,Orange County Psychlgcl Svs,CA,
81Y,Atlanta Heart Specialists,GA,
81Z,Native American Health Center,CA,
823,South Florida Oral/Maxillofcl,FL,
827,South Georgia Psychtrc Cnslng,GA,
82B,NeuroCenter,CA,
82C,Newport Diagnostic Center,CA,
82E,Newstart Medical Clinic,CA,
82F,Atlanta Orthopedics,GA,
82G,Nippon Medical Clinic,CA,
82J,North State Pulmonary,CA,
82L,Buckhead Internal Medicine,GA,
82M,Saddleback Women's Med Grp,CA,
82P,Elite Anesthesia,CA,
82U,Sharp Rees-Stealy Medical Group,CA,
82V,Calhoun OB/GYN Associates,GA,
82W,Lask & Rosenzweig MDs,CA,
82X,Roseville Family Healthcare,CA,
831,Family Physicians Of Evans,GA,
832,Metro Surgical,GA,
833,MedNow Inc,GA,
836,Sanibel Medical,FL,
837,Sebring Heart Center,FL,
838,Skin Cancer Treatment Center,FL,
83A,Cherokee Women's Health Specs,GA,
83B,Columbus Plastic/Cosmetic Sgy,GA,
83E,Mountain View Pediatrics,GA,
83F,Dana Point Urgent Care,CA,
83G,Athens Women's Clinic,GA,
83H,Atlanta Cardiac/Thoracic Sgy,GA,
83J,Anesthesiology Consultants,GA,
83K,Alpha Internal Medicine,GA,
83L,Advanced Eye Center,GA,
83P,Davidorf Eye Group,CA,
83Q,Family Care Providers,CA,
83R,Family/Industrial Medical Ctr,CA,
83U,Family Practice,CA,
83X,Fishman Levy MDs,CA,
83Y,Morehouse Health Care,GA,
842,Peachtree Psychiatric Prof,GA,
843,Pediatric After Hours,GA,
845,Pediatric First,GA,
848,Professional Park Medical Svs,GA,
849,Progressive Medical Centers,GA,
84A,Smith Smith Percy Simpson MDs,FL,
84F,Bella Vista Senior Hlth Ctr,AR,
84G,Arkansas Pathology Associates,AR,
84I,Arkansas Primary Care Clinic,AR,
84J,Miami Behavioral Health Ctr,FL,
84K,Miami Inst Age Mgmt/Intrvntn,FL,
84L,Nahmad Lankau Weinberger MDs,FL,
84N,Naples Pathology,FL,
84O,New Horizons Mental Health,FL,
84Q,Southern Orthopedic/Sprts Med,GA,
84R,Oral & Facial Surgery Center,FL,
84S,Northside Podiatry,GA,
84T,Northwest Georgia Hemtlgy/Onc,GA,
84V,North Fulton Eye Center,GA,
84W,Oshiokpekhai & Associates,GA,
84Y,Pain Consultants Of Atlanta,GA,
84Z,Parkwood Podiatry Associates,GA,
853,Arrowhead Radiology Med Grp,CA,
