Code5,Hospital Code,STATE
BSX,South Cameron Memorial Hospital,LA
BSY,Solara Hospital Shawnee,OK
BSZ,Saint Francis Medical Center,CO
BTA,Sierra Providence East Med Ctr,TX
BTB,Methodist Stone Oak Hospital,TX
BTC,West Marion Community Hospital,FL
BTE,Stonecrest Medical Center,TN
BTF,Spotsylvania Regional Med Ctr,VA
BTG,St Vincent Seton Specialty Hosp,IN
BTH,Beth Israel Medical Center,NY
BTI,Providence Park Hospital,MI
BTJ,Hoag Hospital Irvine,CA
BTK,Galichia Heart Hospital,KS
BTL,Medical Center Of The Rockies,CO
BTM,Lakeview Neurorehabilitation,NH
BTN,Red Rock Behavioral Hlth Hosp,NV
BTO,Alta Bates Med Ctr Herrick Cmps,CA
BTP,VA Hospital - Hines,PA
BTR,Portland VA Medical Ctr Vancvr,WA
BTS,Southern Crescent Hospital,GA
BTT,Rehabilitation Hospital Wiscnsn,WI
BTU,Select Specialty Hosp-Pensacla,FL
BTV,Covenant Specialty Hospital,TX
BTW,Methodist West Hospital,IA
BTX,Doctors Hospital At Renaissance,TX
BTY,RML Specialty Hospital,IL
BUF,Gilbert Hospital,AZ
BUG,Mercy Franklin Center,IA
BUH,Family Health West Hospital,CO
BUI,Lexington VA Medical Center,KY
BUJ,Miracle Mile Medical Center,CA
BUK,Port Saint Lucie Hospital,FL
BUP,Sacred Heart Hospital On The Gf,FL
BUQ,Jack Hughston Memorial Hospital,AL
BUR,Texas Regional Medical Center,TX
BUS,Snoqualmie Valley Hospital,WA
BUT,Ethicus Hospital Grapevine,TX
BUW,St Joseph's Hospital - North,FL
BUY,Bucyrus Community Hospital,OH
BVA,Methodist Heart Hospital,TX
BVC,Interim LSU Hospital,LA
BVD,Sister Emmanuel Hospital,FL
BVF,Kindred Hospital NJ Mris Cnty,NJ
BVG,University Hosp Ahuja Med Ctr,OH
BVH,Bellevue Medical Center,NE
BVI,Aurora Medical Center Summit,WI
BVJ,Drumright Regional Hospital,OK
BVK,Baptist Medical Center South,FL
BVL,Kindred Hospital,FL
BVM,Alaska VA Healthcare System,AK
BVN,Viera Hospital,FL
BVO,Select Specialty Hospital,FL
BVQ,Kindred Hospital Palm Beaches,FL
BVR,Baylor Med Cntr Trophy Club,TX
BVS,Bellevue Hospital,OH
BVT,Holzer Medical Center Jackson,OH
BVU,Progress West Hospital,MO
BVV,Summit Medical Center,OK
BVW,Noland Hospital,AL
BVX,Saint Marks Medical Center,TX
BVY,South Hampton Community Hosp,TX
BVZ,West Chester Hospital,OH
BWB,Santa Paula Hospital,CA
BWC,Children's Medical Center Legcy,TX
BWD,Ozarks Community Hospital,AR
BWE,Clyde E Lassen State Vetrn Nrsg,FL
BWF,University General Hospital,TX
BWH,Brigham & Womens Hospital,MA
BWI,Thompson Peak Hospital,AZ
BWJ,I-70 Community Hospital,MO
BWK,Bailey Medical Center,OK
BWM,Seton Medical Center Hays,TX
BWN,Sycamore Medical Center,OH
BWO,Pikes Peak Regional Hospital,CO
BWP,Texas Hlth Prsbytrn Hosp Rckwll,TX
BWQ,Saint Rose Domincn Hosp Sn Mrtn,NV
BWR,Memorial Hospital In Part UCH,CO
BWS,St Elizabeth Brdmn Hlth Ctr,OH
BWU,Deaconess Gateway Hospital,IN
BWW,Patewood Memorial Hospital,SC
BWY,Women & Babies Hospital,PA
BWZ,Wheaton Franciscn Hlthcr Frnkln,WI
BXA,Aurora Medical Center Grafton,WI
BXC,Cypress Pointe Hospital East,LA
BXD,Monroe Hospital,IN
BXE,Indiana University Health West,IN
BXF,Saint John Owasso Inc,OK
BXG,Indiana Univ Hlth Arntt Hosp,IN
BXI,North Miss Med Ctr-Womns Hosp,MS
BXJ,Parkview Regional Med Cnt,IN
BXK,Harrison Medical Center,WA
BXL,East Texas Medical Center Gilmr,TX
BXM,Kentuckiana Medical Center,IN
BXN,Desert View Hospital,NV
BXO,Baton Rouge Gen Medical Center,LA
BXP,Great Bend Regional Hospital,KS
BXQ,Wise Regional Hlth Sys Brdgprt,TX
BXT,Mercy Walworth Hospital,WI
BXU,Boulder Community Foothills Hos,CO
BXV,Dublin Methodist Hospital,OH
BXW,Pagosa Springs Medical Center,CO
BXX,Charlie Norwood VA Med Ctr,GA
BXY,Hillcrest Baptist Herring Camps,TX
BYB,Hemet Vally Rcvry Ctr/Sge Retrt,CA
BYC,Bayfront Medical Center,FL
BYF,Kindred Hospital Flamingo Road,NV
BYJ,Maple Grove Hospital,MN
BYK,Kindred Hospital Cleveland,OH
BYL,Baylor Medical Center Garland,TX
BYM,Bay Medical Sacred Heart Hosp,FL
BYN,Regency Hospital Cleveland West,OH
BYP,Christus Santa Rsa Hosp Wstovr,TX
BYR,North Knoxville Medical Center,TN
BYS,Capital Health Med Ctr-Hopewell,NJ
C01,Crossbridge Behavioral Health,AL
C2C,City Of Hope National Med Ctr,CA
C3G,Creedmoor Psychiatric Center,NY
CA1,West Palm Hospital,FL
CA2,Cape Fear Valley Medical Center,NC
CA3,Mercy Hospital Carthage,MO
CA4,Coliseum Medical Centers,GA
CA5,Chino Valley Medical Center,CA
CA6,Blank Children's Hospital,IA
CA7,Carolina Pines Regional Med Ctr,SC
CA9,Carolinas Rehabilitation,NC
CAA,Coney Island Hospital,NY
CAB,Charleston Area Medical Center,WV
CAC,Catawba Valley Medical Center,NC
CAD,Centegra Hospital,IL
CAE,Clearwater Valley Hospital,ID
CAF,Saint Helena Center Behvrl Hlth,CA
CAG,Central Mississippi Medical Ctr,MS
CAH,Cambridge Hospital,MA
CAI,Children's Hospital Of Phldlpha,PA
CAJ,Cumberland Medical Center,TN
CAK,Cedars-Sinai Medical Center,CA
CAL,Cook Children's Medical Center,TX
CAM,Choctaw Memorial Hospital,OK
CAN,Colquitt Regional Med Ctr,GA
CAO,Camden General Hospital,TN
CAP,Community Medical Center Inc,MT
CAQ,Cloud County Health Center,KS
CAS,Advocate Condell Medical Center,IL
CAT,Community Memorial Healthcare,KS
CAU,Community Hospital,AL
CAV,Cortland Regional Medical Ctr,NY
CAW,Covenant Medical Center,IA
CAX,Central Maine Medical Center,ME
CAY,Community Memorial Hospital,MN
CAZ,Community Memorial Hospital,SD
CB1,Baptists Health Lexington,KY
CB3,Crestwood Medical Center,AL
CB4,Clarion Hospital,PA
CB5,Christus Spohn Hospital South,TX
CB6,Children's Hospital Los Angeles,CA
CB7,Conroe Regional Medical Center,TX
CB8,Crisp Regional Hospital,GA
CB9,Cannon Falls Medical Center,MN
CBA,Callaway District Hospital,NE
CBB,Covenant Hospital Levelland,TX
CBD,Christus Hospital Saint Elizbth,TX
CBE,Carolinas Medical Center,NC
CBF,Morgan Stanley Children's Hosp,NY
CBG,Carle Foundation Hospital,IL
CBH,Ty Cobb Regional Medical Center,GA
CBI,Christus Hospital St Mry Cmps,TX
CBJ,Children's National Medical Ctr,DC
CBK,Clara Maass Medical Center,NJ
CBO,Carilion Giles Community Hosp,VA
CBP,Cedar County Memorial Hospital,MO
CBQ,Cooper University Hospital,NJ
CBS,Columbus Regional Healthcr Sys,NC
CBT,Claxton-Hepburn Medical Center,NY
CBU,Carson Tahoe Reg Med Ctr,NV
CBV,Central Valley General Hospital,CA
CBW,Campbell County Memorial Hosp,WY
CBX,Columbia Memorial Hospital,NY
CBY,Doctors Hospital Augusta,GA
CBZ,Crete Area Medical Center,NE
CC1,Chambersburg Hospital,PA
CC2,Chambers Memorial Hospital,AR
CC4,Chilton Medical Center,NJ
CC5,Cameron Regional Medical Center,MO
CC6,Community Memorial Hospital,NE
CC8,UNM Carrie Tingley Hospital,NM
CC9,Cass Regional Medical Center,MO
CCA,Citizens Memorial Hospital Dist,MO
CCB,Clear Lake Regional Medical Ctr,TX
CCC,Cottage Hospital,NH
CCD,Concord Hospital,NH
CCE,Caldwell Memorial Hospital,NC
CCF,Cozad Community Hospital,NE
CCG,Cozby-Germany Hospital,TX
CCH,Carson Health,MI
CCI,CVPH Medical Center,NY
CCJ,Cabell Huntington Hospital,WV
CCK,Crossroads Community Hospital,IL
CCL,Central Dupage Hospital,IL
CCM,Western Reserve Hospital,OH
CCN,CHOC Children's Hospital,CA
CCO,Columbus Community Hospital Inc,NE
CCP,Clarinda Regional Health Center,IA
CCQ,Community Medical Center,NE
CCR,Cambridge Memorial Hospital,NE
CCS,Chase County Community Hospital,NE
CCT,Chadron Community Hosp Hlth Svs,NE
CCU,Cherry County Hospital,NE
CCV,Cass County Memorial Hospital,IA
CCW,Clarke County Hospital,IA
CCX,Concho County Hospital,TX
CCY,North Mississippi Med Ctr-W Pnt,MS
CD1,Calhoun-Liberty Hospital,FL
CD2,Coon Memorial Hospital,TX
CD3,San Luis Valley Health Conejos,CO
CD5,Sparrow Clinton Hospital,MI
CD6,War Memorial Hospital,WV
CD7,Centrastate Medical Center,NJ
CD8,Cuyuna Regional Medical Center,MN
CD9,Copper Queen Community Hospital,AZ
CDA,Coffey Health System,KS
CDB,Cape Cod Hospital,MA
CDC,Children's Medical Center,TX
CDD,Central State Hospital,VA
CDE,VCU Community Memorial Hospital,VA
CDG,Camden-Clark Med Ctr Mmrl Cmps,WV
CDH,Cobre Valley Regional Med Ctr,AZ
CDI,UHS Chenango Memorial Hospital,NY
CDJ,Upstate University Hospital,NY
CDK,Children's Hospital & Med Ctr,NE
CDL,Carthage Area Hospital,NY
CDM,Canton Potsdam Hospital,NY
CDN,Childrns Hosp CO Outpat Speclty,CO
CDO,Catskill Regional Medical Ctr,NY
CDQ,Charles Cole Memorial Hospital,PA
CDR,Community Hospital/Wellness Ctr,OH
CDS,Community Memorial Hospital,OH
CDT,Central Montana Medical Center,MT
CDV,Geisinger Community Med Ctr,PA
CDW,Camden Campus,GA
CDX,Childress Regional Medical Ctr,TX
CDY,Carteret General Hospital,NC
CDZ,Dayton Children's Hospital,OH
CE1,Chelsea Community Hospital,MI
CE2,Columbia Memorial Hospital,OR
CE3,Tristar Centennl Med Ctr Ashlnd,TN
CE4,Castleview Hospital,UT
CE5,Central Community Hospital,IA
CE6,Cooperstown Medical Center,ND
CE7,Cary Medical Center,ME
CE8,OSF Saint Elizabeth Medical Ctr,IL
CE9,Hillcrest Hospital Claremore,OK
CEA,Midtown Medical Center,GA
CEC,Clarendon Memorial Hospital,SC
CED,OU Medical Center The Chld Hosp,OK
CEE,Carroll County Memorial Hosp,MO
CEF,Cooper County Memorial Hospital,MO
CEG,Cimarron Memorial Hospital,OK
CEH,Claremore Indian Hospital,OK
CEI,Cumberland County Hospital,KY
CEJ,Coteau Des Prairies Hlth Cr Sys,SD
CEK,Nationwide Children's Hospital,OH
CEL,Cheyenne County Hospital,KS
CEM,Clara Barton Hospital,KS
CEO,Clay County Medical Center,KS
CEP,Community Healthcare System,KS
CEQ,Citizens Medical Center,LA
CER,Christus Saint Frncs Cbrni Hosp,LA
CES,Christus Health Shreveport-Boss,LA
CET,Citizens Medical Center,TX
CEU,Covenant Medical Center,TX
CEV,Crawford Memorial Hospital,IL
CEZ,Carilion Franklin Mem Hosp,VA
CF1,Vidant Chowan Hospital,NC
CF2,Caverna Memorial Hospital,KY
CF3,Carlsbad Medical Center,NM
CF4,Community Hospital Fairfax,MO
CF5,Houston Methodist St John Hosp,TX
CF6,Cumberland River Hospital,TN
CF7,Capital Regional Medical Center,FL
CF8,Cullman Regional Medical Center,AL
CF9,Weatherford Regional Med Ctr,TX
CFA,Clay County Hospital,IL
CFB,Community Hospital Of Mntry Pen,CA
CFC,Central Valley Medical Center,UT
CFE,Norwood Hospital,MA
CFF,Cheshire Med Ctr Drtmth Hthcock,NH
CFH,Carlisle Regional Medical Ctr,PA
CFI,Carolinaeast Medical Center,NC
CFJ,Citrus Memorial Health System,FL
CFK,Cookeville Regional Medical Ctr,TN
CFL,Christus Spohn Beeville Hosp,TX
CFM,Christus Spohn Hosp Crps Chrsti,TX
CFN,College Station Medical Center,TX
CFO,Castle Medical Center,HI
CFP,Curry General Hospital,OR
CFQ,Skyridge Medical Center,TN
CFR,California Pacific Medical Ctr,CA
CFS,Chapman Medical Center,CA
CFT,Corry Memorial Hospital,PA
CFU,Cleveland Regional Hospital,TX
CFV,SSM Saint Joseph's Health Ctr,MO
CFW,College Hospital Cerritos,CA
CFX,Colorado Plains Medical Center,CO
CFZ,Berkeley Medical Center,WV
CG1,Cox Medical Center North,MO
CG2,Lester E Cox Medical Center,MO
CG3,Meyer Orthopedic & Rehab Hosp,MO
CG5,Community Health Center,MI
CG7,Calvary Hospital,NY
CG8,Caro Community Hospital,MI
CGA,Emory University Hosp Midtown,GA
CGB,Crawford County Memorial Hosp,IA
CGC,Cassia Regional Medical Center,ID
CGD,Columbus Community Hospital,TX
CGE,Healthsouth Chattanga Rehab Ctr,TN
CGF,Childrn Hosp Rehab Clvlnd Clin,OH
CGG,Citizens Baptist Medical Center,AL
CGH,Chesapeake Regional Med Ctr,VA
CGI,Chicot Memorial Medical Center,AR
CGJ,CGH Medical Center,IL
CGK,UCSF Benioff Chldrn Hosp Oaklnd,CA
CGL,Coffee Regional Medical Center,GA
CGM,Connecticut Childrens Med Ctr,CT
CGN,Bayfront Health Punta Gorda,FL
CGO,Central Florida Regional Hosp,FL
CGP,Christ Hospital,OH
CGQ,Colorado Mntl Hlth Inst Frt Lgn,CO
CGR,Community Hospital Huntngtn Prk,CA
CGS,St. Joseph's/Candler,GA
CGT,Children's Hospital Medical Ctr,OH
CGU,Candler County Hospital,GA
CGV,Cancer Treatment Centers Amrica,OK
CGW,California Hospital Medical Ctr,CA
CGX,Caribou Memorial Hospital,ID
CGY,Rady Children's Hospital,CA
CGZ,Coral Gables Hospital,FL
CHA,Chandler Regional Medical Ctr,AZ
CHB,Children's Of Alabama,AL
CHC,Children's Hospital Central CA,CA
CHD,Christus Spohn Hospital Shoreln,TX
CHE,Charlevoix Area Hospital,MI
CHF,Penn Medicine Chester Cny Hosp,PA
CHG,Sarah D Culbertson Mem Hosp,IL
CHJ,New York Presby Hosp Colmb Univ,NY
CHL,Boston Children's Hospital,MA
CHN,Mercy Regional Medical Center,OH
CHP,Women & Children's Hospital,WV
CHQ,Children's Hospital Pitts UPMC,PA
CHR,Seattle Children's Hospital,WA
CHW,Children's Hospital Of Wisconsn,WI
CID,Wilma N Vazquez Medical Center,PR
CIH,Chestnut Hill Hospital,PA
CII,Centro Cardiovascular De PR,PR
CIJ,Cooley Dickinson Hospital,MA
CIL,Community Healthlink,MA
CIN,Community Hospital Of Anderson,IN
CIO,Holy Family Hospital,MA
CIP,Lahey Health Behavioral Health,MA
CIQ,Cape Cod & Islnd Comm Mntl Hlth,MA
CIR,Charlton Memorial Hospital,MA
CIS,Crotched Mountain Rehab Center,NH
CIT,Good Samaritan Medical Center,MA
CIV,Univ Of MD Charles Reg Med Cnt,MD
CIW,Charles Dean Memorial Hospital,ME
CIX,Calais Regional Hospital,ME
CJA,Copley Hospital,VT
CJB,Osborn Correctional Facility,CT
CJE,Connecticut Valley Hospital,CT
CJF,Connecticut Mental Health Ctr,CT
CJG,Charlotte Hungerford Hospital,CT
CJH,Children's Specialized Hospital,NJ
CJJ,Ann & Robert H Lurie Chld Hosp,IL
CJK,Christ Hospital,NJ
CJL,Christian Health Care Center,NJ
CJM,Camden County Health Svs Ctr,NJ
CJN,Carrier Clinic,NJ
CJP,Capital Health Regnl Med Ctr,NJ
CJQ,Children's Specialized Hospital,NJ
CJS,Cornerstone Of Medical Arts Ctr,NY
CJT,Saint John's Riverside Dbb Frry,NY
CJU,Calvary Hospital-Brooklyn Cmpus,NY
CJV,Peconic Bay Medical Center,NY
CJW,Coxsackie Correctional Facility,NY
CJX,Capital District Psych Ctr,NY
CJY,Conifer Park,NY
CKA,Catskill Reg Med Ctr Grvr M Hrm,NY
CKC,Clark Memorial Hospital,IN
CKD,Children's Hospital Kngs Dghter,VA
CKE,Clinton Correctional Facility,NY
CKF,Cayuga Correctional Facility,NY
CKH,Community Memorial Hospital,NY
CKI,Central NY Psychiatric Center,NY
CKK,Cape Vincent Correctional,NY
CKL,Clifton-Fine Hospital,NY
CKM,Canandaigua VA Medical Center,NY
CKN,Crestwood Children's Center,NY
CKO,Cuba Memorial Hospital,NY
CKP,Guthrie Corning Hospital,NY
CKQ,Cayuga Medical Center-Ithaca,NY
CKR,Clark Regional Medical Center,KY
CKS,Children's Home Of Pittsburgh,PA
CKT,Canonsburg General Hospital,PA
CKU,Conemaugh Memorial Hospital Cnt,PA
CKV,Clarion Psychiatric Center,PA
CKW,Cove Forge Behavioral Health,PA
CKX,Pinnaclehealth Comm Cmp Gen Hos,PA
CKY,Caldwell Medical Center,KY
CKZ,Clarks Summit State Hospital,PA
CLA,Mercy Health Clermont Hospital,OH
CLB,Columbus Regional Health,IN
CLC,Clear Brook Lodge,PA
CLD,Children's Hlthcr Atlnta Eglstn,GA
CLE,Penn Highlands Clearfield,PA
CLF,Clear Brook Manor,PA
CLH,Wyndmoor Hills Hlth & Rehab Ctr,PA
CLJ,Childrens Behavioral Health Ctr,PA
CLK,Lansdale Hospital,PA
CLL,Caron Treatment Center,PA
CLM,Calvert Memorial Hospital,MD
CLN,Clifton T Perkins Hospital Cntr,MD
CLO,Carroll Hospital Center,MD
CLQ,Adventist Behavioral Health,MD
CLR,Univ Of MD Shore Med Ctr Chestr,MD
CLS,Halquist Memorial Inpatient Ctr,VA
CLT,Culpeper Regional Hospital,VA
CLU,Cumberland Hospital,VA
CLV,Children's Hospital Richmnd VCU,VA
CLW,Chippenham Hospital,VA
CLX,Catawba Hospital,VA
CLY,Carilion New River Vlly Med Ctr,VA
CLZ,Commonwealth Ctr Chldrn/Adlscnt,VA
CMA,Central Virginia Training Ctr,VA
CMB,Clinch Valley Medical Center,VA
CMC,Children's Mercy Hospitals/Clin,MO
CMD,Chestnut Ridge Center,WV
CME,Community Memorial Hospital,CA
CMF,Central Carolina Hospital,NC
CMG,Chatham Hospital,NC
CMH,Froedtert/Med Coll Wis Comm Mem,WI
CMI,Mclaren Central Michigan,MI
CMJ,Clinton Memorial Hospital,OH
CMK,Cherry Hospital,NC
CML,Central Prison Healthcare Cplx,NC
CMM,Community Hospital,NE
CMN,Coastal Plain Hospital,NC
CMO,Carolinas Contcare Hosp Kng Mtn,NC
CMP,Cleveland Regional Medical Ctr,NC
CMQ,Carolinas Medical Ctr-Pineville,NC
CMR,Carolina Med Ctr Univ,NC
CMS,Saint Mary's Hospital,WI
CMT,New Hnvr Reg Med Ctr Ortho Hosp,NC
CMU,Caswell Developmental Center,NC
CMV,Charles A Cannon Jr Mem Hosp,NC
CMW,Cherokee Indian Hospital Auth,NC
CMX,Carepartners Rehabilitation Hsp,NC
CMY,Comanche County Memorial Hosp,OK
CNB,Coastal Center,SC
CND,Colleton Medical Center,SC
CNF,Carolinas Hospital Women's Ctr,SC
CNG,The Carolina Center Behvrl Hlth,SC
CNH,Cannon Memorial Hospital,SC
CNI,Chester Regional Medical Center,SC
CNJ,Children's Hospital Of Michigan,MI
CNK,Cartersville Medical Center,GA
CNL,Chestatee Regional Hospital,GA
CNM,Centinela Hospital Medical Ctr,CA
CNN,Chatuge Regional Hospital,GA
CNO,Carl Vinson VA Medical Center,GA
CNP,Central State Hospital,GA
CNQ,Children's Hospital Of Macon,GA
CNR,Coliseum Center Behavioral Hlth,GA
CNS,Coastal Harbor Health System,GA
CNU,Clinch Memorial Hospital,GA
CNV,Campbellton-Graceville Hospital,FL
CNW,D'Albora Childrns Crss Stablztn,FL
CNX,Cape Canaveral Hospital,FL
CNY,Citrus Health Network,FL
CNZ,Broward Health Coral Springs,FL
COA,University Of Miami Hospital,FL
COB,Cleveland Clinic Hospital,FL
COC,Cape Coral Hospital,FL
COD,Medical Center Trinity,FL
COE,Coosa Valley Medical Center,AL
COH,Callahan Eye Hospital,AL
COK,Crenshaw Community Hospital,AL
COL,Collingsworth General Hospital,TX
COO,Clay County Healthcare Athty,AL
COQ,Tristar Centennial Medical Ctr,TN
COR,Tristar Centennial Women's/Chld,TN
COU,Clover Bottom Developmental Ctr,TN
COV,Parkwest Medical Center,TN
COW,Conway Medical Center,SC
COX,Copper Basin Medical Center,TN
COY,Claiborne County Hospital,TN
CPA,Crockett Hospital,TN
CPB,MDOC Correctional Medicine,MS
CPC,Claiborn County Hospital,MS
CPD,Choctaw Health Center,MS
CPE,Covington County Hospital,MS
CPF,Highland Community Hospital,MS
CPG,Pioneer Community Hosp Choctaw,MS
CPH,Rush Copley Medical Center,IL
CPJ,Central State Hospital,KY
CPK,Our Lady Of Peace,KY
CPL,Cardinal Hill Rehab Hosp,KY
CPM,Carroll County Memorial Hosp,KY
CPN,Crittenden Health Systems,KY
CPO,Cumberland Hall Hospital,KY
CPP,Central Vermont Medical Center,VT
CPQ,Casey County Hospital,KY
CPS,Clinton County Hospital,KY
CPT,Columbus Developmental Center,OH
CPU,Children's Hospital,LA
CPW,Cleveland House Of Corrections,OH
CPX,Cleveland Clinic,OH
CPY,Springfield Reg Med Center,OH
CPZ,Community Hospital East,IN
CQA,Community Health Network South,IN
CQB,Community Hospital North,IN
CQC,Community Hospital,IN
CQD,Community Hospital Of Bremen,IN
CQE,Cameron Memorial Hospital,IN
CQF,Community Mental Health Center,IN
CQG,Center For Forensic Psychiatry,MI
CQH,Crittenton Hospital Medical Ctr,MI
CQI,Covenant Medical Center Rehab,MI
CQJ,Covenant Healthcare,MI
CQK,Covenant Healthcare Harrison,MI
CQL,Caro Center,MI
CQM,Childserve,IA
CQO,Community Memorial Hospital,IA
CQP,Cherokee Mental Health Inst,IA
CQQ,Clarinda Mental Health Inst,IA
CQR,Calumet Medical Center,WI
CQT,Central Wisconsin Center,WI
CQU,Columbus Community Hospital,WI
CQV,Community Memorial Hospital,WI
CQW,Chippewa Valley Hospital,WI
CQX,Cumberland Health Care,WI
CQY,Children's Hosp & Clins Minnsta,MN
CQZ,Cook County North Shore Hosp,MN
CRA,Cook Hospital,MN
CRB,Caledonia Care And Rehab,MN
CRC,Chippewa County Montevideo Hosp,MN
CRD,Sanford Bagley Medical Center,MN
CRE,Creighton University Med Ctr,NE
CRF,Cass Lake Indian Hlth Svs Hosp,MN
CRG,Sanford Canton-Inwood Med Ctr,SD
CRI,Children's Care Hospital/School,SD
CRJ,Custer Regional Hospital,SD
CRK,Cavalier County Mem Hosp Assn,ND
CRL,Carrington Health Center,ND
CRO,Carolinas Hospital System,SC
CRP,Turtle Lake Community Mem Hosp,ND
CRQ,Crow-Northern Cheyenne Hospital,MT
CRS,Crouse Hospital,NY
CRU,Clark Fork Valley Hospital,MT
CRV,Chicago Read Mental Health Ctr,IL
CRW,Abraxas Youth And Family Svs,IL
CRY,Aurora Chicago Lakeshore Hsp,IL
CRZ,Crozer Chester Medical Center,PA
CSA,Christiana Hospital,DE
CSB,Community Memorial Hospital,IL
CSC,Chester Mental Health Center,IL
CSD,Carlinville Area Hospital,IL
CSE,Clyde L Choate Mntl Hlth & Dev,IL
CSF,Chesterfield General Hospital,SC
CSG,Christian Hospital,MO
CSH,Cox Monett Hospital,MO
CSI,Center Pointe Hospital,MO
CSJ,Crittenton Children's Center,MO
CSK,Capital Region Medical Center,MO
CSL,Women's & Children's Hospital,MO
CSM,Callaway Community Hospital,MO
CSN,Saint Lukes Cushing Hospital,KS
CSO,Clifton Springs Hosp & Clinic,NY
CSP,Children's Mercy South,KS
CSQ,Eastern Kansas Healthcare Sys,KS
CSS,Comanche County Hospital,KS
CST,Coffeyville Regional Med Ctr,KS
CSU,Citizens Medical Center,KS
CSV,Lutheran Family Services,NE
CSW,Avera Creighton Hospital,NE
CSZ,Community Care Hospital,LA
CTA,Community Specialty Hospita,LA
CTB,Christus St Patrick Hospital,LA
CTD,Cornerstone Hosp Sthwst Louisna,LA
CTE,AMG Specialty Hospital Felicna,LA
CTF,Christus Coushatta Health Care,LA
CTG,Christus Highland Hospital,LA
CTI,Catholic Medical Center,NH
CTJ,Cornerstone Hospital Bossier,LA
CTK,Cornerstone Hospital,LA
CTL,Longleaf Hospital,LA
CTM,Central Louisiana State Hosp,LA
CTN,Caldwell Memorial Hospital,LA
CTO,Ouachita Rvr Hosp Specl Nds Unt,AR
CTP,Conway Human Development Center,AR
CTQ,White County Medical Center,AR
CTR,Cross Ridge Community Hospital,AR
CTS,Carnegie Tri-County Muncpl Hosp,OK
CTV,Cordell Memorial Hospital,OK
CTW,Central Washington Hospital,WA
CTX,Cleveland Area Hospital,OK
CTY,Hillcrest Hospital Cushing,OK
CTZ,AMG Specialty Hospital-Tulsa,OK
CUA,Craig General Hospital,OK
CUB,Epic Medical Center,OK
CUC,Carl Albert Cmnty Mntl Hlth Cnt,OK
CUD,Choctaw Nation Health Care Ctr,OK
CUE,Cuero Community Hospital,TX
CUF,Chickasaw Nation Medical Center,OK
CUG,Creek Nation Community Hospital,OK
CUH,Hickory Trail Hospital,TX
CUI,Methodist Charlton Medical Ctr,TX
CUJ,Christus Saint Michael Hlth Sys,TX
CUK,Clay County Memorial Hospital,TX
CUL,Cedar Crest Hospital & RTC,TX
CUM,Little River Cameron Hospital,TX
CUN,Coryell Memorial Healthcare Sys,TX
CUO,Coleman County Medical Center,TX
CUQ,St Joseph Medical Center,TX
CUR,Cornerstone Hospital Of Houston,TX
CUS,Christus Santa Rosa Med Ctr,TX
CUT,Cypress Fairbanks Medical Ctr,TX
CUU,Cypress Creek Hospital,TX
CUV,Houston Methodist St Cthrn Hosp,TX
CUW,Cornerstone Hosp Houstn Clr Lke,TX
CUX,Kindred Rehab Hosp Clr Lke,TX
CUY,Nix Community General Hosp Dlly,TX
CUZ,Connally Memorial Medical Ctr,TX
CVA,Children's Hospital San Antonio,TX
CVE,Christus Spohn Alice Hospital,TX
CVF,Christus Spohn Hospital Kleberg,TX
CVH,Doctors Regional Medical Center,TX
CVI,Corpus Christi Med Ctr Bay Area,TX
CVJ,Cornerstone Regional Hospital,TX
CVL,Central Texas Medical Center,TX
CVO,Cornerstone Healthcr Hosp Austn,TX
CVQ,Covenant Hospital Plainview,TX
CVR,Chillicothe Hospital District,TX
CVS,Crosbyton Clinic Hospital,TX
CVT,Cochran Memorial Hospital,TX
CVV,Crane Memorial Hospital,TX
CVW,Culberson Hospital,TX
CVX,Centennial Peaks Hospital,CO
CVY,Craig Hospital,CO
CWB,Children's Hospital Colorado,CO
CWC,Cedar Springs Hospital,CO
CWD,Colorado Mental Health Inst,CO
CWE,Colorado Territorial Corrct Fac,CO
CWF,Community Hospital,CO
CWH,Cheyenne VA Medical Center,WY
CWI,Community Hospital,WY
CWJ,Crook County Medical Svs Dist,WY
CWK,Canyon View Behavioral Health,ID
CWL,Cascade Medical Center,ID
CWM,Copper Hills Youth Center,UT
CWO,Cache Valley Hospital,UT
CWP,Carl T Hayden VA Medical Center,AZ
CWQ,Banner Casa Grande Med Ctr,AZ
CWR,Copper Mountain Inn,AZ
CWS,Cornerstone Hospital SE AZ,AZ
CWT,Lakeland Community Hsptl Wtrvlt,MI
CWU,Chinle Comprehensive Care Fac,AZ
CWV,Cascade Valley Hospital,WA
CWW,Cibola General Hospital,NM
CWX,Crownpoint Healthcare Facility,NM
CWZ,Kindred Hospital South Bay,CA
CXA,Coast Plaza Hospital,CA
CXB,Catalina Island Medical Center,CA
CXC,Community Hospital Long Beach,CA
CXD,California Institution For Men,CA
CXE,Canyon Ridge Hospital,CA
CXF,Citrus Valley Medical Center,CA
CXG,Casa Colina Centers For Rehab,CA
CXH,Coshocton County Mem Hosp Assoc,OH
CXJ,John H Stroger Jr Hosp Ck Cty,IL
CXK,Silver Lake Medical Center,CA
CXL,Citrus Valley Medical Center,CA
CXM,Vibra Hospital Of San Diego,CA
CXN,Colorado River Medical Center,CA
CXO,Community Hospital Of Sn Brndno,CA
CXP,College Hospital Costa Mesa,CA
CXQ,CHOC Children's At Mission Hosp,CA
