Code4,Health System Code,STATE
MHC,Memorialcare Health System,CA
MEN,Mennonite Brethren Homes,CA
MNT,Mennonite Health Services,IN
05Z,Mercy Health,MI
CFK,Mercy Health,OH
03S,Mercy Health Network,IA
MWO,Mercy Health SW Ohio,OH
MBD,Mercy Health System,WI
MCY,Mercy Health System,PA
SBD,Mercy Health System,MO
MBH,Mercy Health System NW Arkansas,AR
MRD,Meridian Behavioral Hlth Netwrk,MN
MRH,Meridian Health System,NJ
MAM,Meriter-Unity Point,WI
WAJ,Meritus Health,MD
MRR,Merrill Gardens LLC,WA
MAF,Methodist Health System,TX
UTN,Methodist Healthcare,TN
MEH,Methodist Healthcare System,TX
MTC,Metro Chicago Hlthcare Council,IL
ABP,Metro Health,MI
MAI,MetroHealth System,OH
MTO,Metron Integrated Health System,MI
MTR,Metropolitan Hospital Council,LA
MHA,MHA MT Healthcare Providers,MT
CNV,Mi Casita Care Center LLC,TX
MHH,Michigan Health & Hosp Assn,MI
MSU,Michigan State University,MI
06T,Mid Atlantic Health Management,MD
056,Mid Coast Health Services,ME
MTP,Mid Step Services,IA
MSO,Mid-South Health Systems,AR
01U,Midland Community Health Svs,TX
MBQ,MidMichigan Health,MI
HSM,Midwest Administrative Services,MO
MBG,Midwest Business Group On Hlth,IL
MIW,Midwest Health Management,KS
LST,Milestone Retirement Communts,WA
MCE,Millcreek Community Hospital,PA
ELT,Millennium Management,FL
MIL,Miller's Health Systems Inc,IN
MJB,Ministry Healthcare,WI
MNH,Minnesota Hospital Association,MN
MIS,Mission Care Group,CA
MAN,Mission Health System,NC
MSP,Mississippi Hospital Assn,MS
MSS,Missouri Hospital Association,MO
MPC,Missouri Purchasing Council,MO
04T,MN Mltstt Cntrctng Allnc Phrmcy,MN
09W,Mohawk Valley Health System,NY
04K,Monmouth Ocean Hospl Svs Corp,NJ
MOH,Monongalia Health System,WV
AAP,Monroe Clinic,WI
MON,Montana Health Network,MT
0AD,Montefiore Care Management,NY
MBI,Montefiore Health System,NY
MOM,Montgomery County Chapter,NY
MOR,Morningside Ministries,TX
JLM,MorseLife Inc,FL
MOC,Mosaic,NE
HAL,Mosaic Life Care,MO
MPF,Motion Picture/Televison Fund,CA
MOV,Motivational Services Inc,ME
MA5,Mount Carmel Health System,OH
MRC,Mount Rogers Community Services,VA
MTS,Mount Sinai Health System,NY
04C,Mount St Marys Hospital,NY
AAQ,Mountain States Health Alliance,TN
08G,MountainStar Healthcare,UT
MSC,MSC Associates,TX
UAL,MU Health,MO
MUI,Multicare Health System,WA
MUN,Munson Healthcare System,MI
NAS,Nash Health Care System,NC
NSC,Nassau-Suffolk Hospital Council,NY
NAT,National Church Residences,OH
07G,National Healthcare Associates,NY
05R,National Healthcare Corporation,TN
NTS,National Surgical Hospitals,IL
050,Navigator Health Mgmt Solutions,TN
NCI,NCH Healthcare System,FL
MDH,Nebraska Methodist Health Sys,NE
ACB,Nemours,FL
08M,Nevada Health Cooperative,NV
05J,Nevada Hospital Association,NV
NCT,New Courtland,PA
NWC,New Covenant Care Group,CA
053,New England Regionl Hlthcr Coop,MA
NWH,New Hampshire Catholic Charity,NH
NWA,New Hampshire Hospital Assn,NH
NHW,New Hanover Reg Med Ctr Mgmt,NC
NJA,New Jersey Hospital Association,NJ
NMD,New Mexico Department Of Health,NM
NHH,New Mexico Hospital Association,NM
NYD,New York City Dept Of Health,NY
NAB,New York City Hlth & Hosp Corp,NY
NYP,New York-Presbyterian Hlthcare,NY
NXC,Nexcare Health System,MI
NXH,Nexion Health Inc,MD
NXS,Nexus,MN
NPT,NHS Management,AL
NFA,Niagara Falls Area Mgmt Corp,NY
NIO,Niobrara Hospital Corporation,NE
NAE,Nix Health Care System,TX
UNJ,NJ Council OfTeaching Hospitals,NJ
NOB,Noble Health Systems,MA
NOL,Noland Health Services,AL
BPA,Noridian Benefit Plan Admnstrs,ND
061,North American Health Care,CA
NCA,North Carolina Hospital Assn,NC
NOC,North Country Associates,ME
NYB,North East Business Grp On Hlth,NY
ABY,North Memorial,MN
NMS,North Mississippi Health Svs,MS
NOK,North Oaks Health System,LA
NHS,North Philadelphia Health Sys,PA
NAK,North Shore-Long Island Jewish,NY
NAJ,NorthBay Healthcare,CA
NRC,Northcare,NH
NAI,Northeast Georgia Health System,GA
NAG,Northern Arizona Healthcare,AZ
NCP,Northern CA Presbytrn Hms,CA
NET,Northern Metropolitan Hosp Assn,NY
NOS,Northern Services Group,NY
NLU,Northland Lutheran Retirement,WI
OHM,Northstar Senior Living,CA
NAL,Northwest Health System,AR
ACQ,Northwestern Memorial Health,IL
NHR,Norton Healthcare,KY
NOR,Norton Sound Health Corporation,AK
NAM,Nova Southeastern University,FL
NAD,Novant Health,NC
081,Novation,TX
LAF,Noyes Health Services,NY
NUC,Nucare Services Corporation,IL
09K,NuHealth Nassau Health Care,NY
NUR,Nursing Care Mgmt Of America,OH
NUV,Nuvision Management,FL
NYU,NYU Langone Medical Center,NY
ONE,O'neill Management Company,OH
OWH,Oakwood Healthcare System,MI
OCX,Ochsner Health System,LA
OHI,Ohio Hospital Association,OH
OPR,Ohio Presbyterian Retirementsvc,OH
09Q,Ohio State Univ Wexner Med Ctr,OH
OHV,Ohio Valley Hlth Svs & Ed Corp,WV
OAE,OhioHealth,OH
MBJ,OhioHealth MedCentral,OH
OHA,Oklahoma Hospital Association,OK
OKL,Oklahoma Nursing Homes Ltd,OK
OAG,Olathe Health System Inc,KS
OAC,Oneida Healthcare Center,NY
HAB,Onix Group,PA
0AA,OpenMarkets,IL
OPI,Opis Management Resources,FL
OPT,Options Family Of Services,CA
OAD,Orange City Health System,IA
AAR,Order Of St Francis Healthcare,IL
ORH,Oregon Health & Science Univ,OR
ORI,Oriol Health Care,MA
ORL,Orlando Health,FL
OTE,Osteopathic Heritage Foundation,OH
OAA,Oswego Health System,NY
OTI,Otis Health Care,VT
OTT,Otterbein Homes,OH
054,OU Health Services,OK
048,Our Lady Of Lourdes,NY
08F,Owens And Minor,VA
OWB,Owensboro Medical Health System,KY
OXF,Oxford Management,MS
06S,Paksn Inc,CA
PA1,Palmetto Health,SC
PPH,Palomar Health,CA
06N,Paramount Healthcare,TX
PAZ,Parkland Health & Hospital Sys,TX
PRK,Parkside Inc,OK
PAD,Parkview Health System,IN
04P,Partners Cooperative Inc,GA
PAB,Partners Healthcare System,MA
PFD,Pathfinder Inc,AR
MGG,Pathway Management,MS
PTH,Patterson House Inc,IL
08I,PDM Healthcare,OH
PBF,Peacehealth,WA
PKR,Peak Resources Inc,NC
0AC,PedsPal,TX
NTE,Pen Bay Healthcare,ME
CLE,Penn Highlands Healthcare,PA
PAT,Penn State University,PA
ACA,Pennock Health Services,MI
PHS,Peregrine Health Services,OH
PES,Pershing Health System,MO
PET,Petersen Health Care,IL
PHO,Phoebe Ministries,PA
0AK,Physicians Endoscopy,PA
VAH,Physicians For Healthy Hosps,CA
08C,Physicians' Alliance Of America,GA
ACE,Piedmont Healthcare,GA
09G,PIH Health,CA
PNB,Pine Belt Mental Health,MS
PNE,Pineleaf Investments,GA
PNL,Pinnacle Health Care,OR
PCL,Pinnacle Healthcare,AR
PNN,Pinnaclehealth System,PA
PIO,Pioneer Health Services,MS
PFP,Places For People,MO
PLA,Plantation Management Company,LA
PHG,Plum Healthcare Group,CA
POR,Porter Hills Retirement Comm,MI
POM,Porter Regional Health System,IN
WSR,Post Acute Medical LLC,PA
07X,Prairie Health Ventures,NE
PFR,Preferred Care Partners,TX
PRD,Preferred Health Services,AL
PRF,Preferred Management Corp,OK
PAA,Premier Health,OH
PRM,Premier Inc,NC
PMC,Premier Management Corporation,CA
PAL,Presbyterian Health Care Svs,NM
PSH,Presbyterian Homes Of Georgia,GA
PRZ,Presbyterian Homes Of Illinois,IL
PBS,Presbyterian Inspired Life,PA
PRE,Presbyterian Manors Mid-America,KS
PRT,Presbyterian Medical Services,NM
PSR,Presbyterian Senior Care,PA
PNY,Presbyterian Senior Care W NY,NY
PHI,Presbyterian Senior Living,PA
PVM,Presbyterian Villages Michigan,MI
RHS,Presence Health,IL
PRS,Prestige Care Inc,WA
CIS,Prime Care Properties,IN
PRI,Prime Healthcare Corporation,AL
PRC,Prime Healthcare Services,CA
PMS,Prime Services Inc,NY
PNV,Primecare Nevada Inc,NV
BRT,Principal LTC,NC
PTT,Priutt Health,GA
PRG,Progressive Healthcare,CA
PRQ,Progressive Quality Care,OH
ACT,Prohealth Care Inc,WI
LEN,Promedica Bixby Hospital,MI
PMH,Promedica Health System,OH
04X,Promedica Toledo Hospital,OH
PIS,Promise Healthcare System,FL
PIA,Providence Health & Services,WA
043,Providence Healthcare Network,TX
RTH,Providence Life Services,IL
PVI,Provider Services,OH
08E,Provista,TX
ASS,PS Dennis Consultants,OH
QUA,QHC Management LLC,IA
QUE,Queens Centers For Progress,NY
ACD,Queens Health Systems,HI
FRR,Radiant Senior Living,OR
RAE,Radnet Inc,CA
RAR,Raritan Bay Health Services,NJ
RAY,Ray Graham Association,IL
RDM,Redman Consulting LLC,MO
HTP,Regency Pacific Management,WA
REP,Regency Park Senior Living Inc,CA
RGY,Regency Post-Acute Hlthcare Sys,TX
05E,Regional Health Inc,SD
EAG,Regionalcare Hospital Partners,TN
REH,Rehabilitation Associates Inc,MA
RMC,Rehoboth Mckinley Christian HC,NM
PCH,Reliable Health Care Management,GA
RLI,Reliance Healthcare Management,AR
PEN,Reliant Senior Care,PA
REM,REM Iowa Inc,IA
04M,Renal Purchasing Group,TN
RNN,Rennes Group,WI
WSH,Renown Health,NV
RSC,Rescare Inc,KY
REO,Residential Options Inc,IL
04R,Resource Optimization & Innovtn,MO
06U,Resthaven Patrons,MI
RHF,Retirement Housing Foundation,CA
CEL,Revera Health Systems,CT
REX,Rex UNC Health Care,NC
RFM,RFMS Inc,IL
RID,Rhode Island Dept Of Health,RI
09I,Ridgeview Medical Center,MN
RVR,Riverside Health Care,NY
AAT,Riverside Health System,VA
ACV,Robert Wood Johnson Hlth Netwrk,NJ
VAE,Rochester General Health System,NY
RCH,Rochester Reg Healthcare Assn,NY
RFH,Rockford Health System,IL
WMM,Rockport Healthcare,CA
ROE,Roeing Corporation,IN
RCD,Roman Catholic Diocese Portland,ME
RAG,Roper St Francis Healthcare,SC
HSE,Rosewood Care Center,TX
RSE,Rosewood Investments,OH
ROU,Rousseau Management Inc,ME
SCU,Rural Hospital Acquistions,OK
RUS,Rush Health Systems,MS
RSH,Rush System For Health,IL
RYD,Ryders Health Management,CT
AUD,Saber Healthcare,OH
076,Saber Healthcare Group,OH
SAJ,Sacred Heart Health System,FL
SAG,Sage Health Services,IN
03U,Saint Alphonsus Health System,ID
CSC,Saint Charles Health System,OR
SCL,Saint Clare's Health System,NJ
SDH,Saint Dominic Health Services,MS
ACW,Saint Elizabeth Healthcare,KY
SFE,Saint Francis Care,CT
SAF,Saint Francis Health System,OK
MIA,Saint John Health System,OK
SKE,Saint Joseph Health,CA
SAU,Saint Joseph Mercy Health Sys,MI
S77,Saint Luke's Health System,MO
SAP,Saint Mary's Health Care System,GA
0A6,Saint Mary's Health System,IN
PLT,Saint Mary's Medical Center,WV
07R,Saint Thomas Health,TN
SHS,Samaritan Health Services,OR
MAE,Sanford Health,SD
034,Sarasota Memorial Health Care,FL
SVA,Sava Senior Care,GA
05A,Savannah Business Group,GA
SOE,SCC Health Care Group,TX
SCM,Schmidt Wallace Hlthcare Mgmt,AL
ACI,SCL Health,CO
0A3,Scotland Health Care System,NC
SCD,Scottsdale Healthcare,AZ
SAH,Scripps Health,CA
SCS,Sea Coast Regional Health,MA
SAR,Sears Methodist Retirement Sys,TX
SEC,Select Medical,PA
SA1,SEMO Health Network,MO
06A,Senior Care,KY
SNR,Senior Housing Options,CO
SRL,Senior Lifestyle Corporation,IL
STA,Senior Star Living,OK
SRS,Seniors Management North,NJ
SRR,Seniors R Able,FL
SEH,Sentara Healthcare,VA
SHP,Sentinel Health Partners,SC
SNA,Sentrycare Inc,MS
SEQ,Sequoyah Manor,OK
046,Seton Healthcare Family,TX
SEV,Seven Counties Services,KY
SHK,Shands Healthcare,FL
SNH,Shannon Medical Center Mgmt,TX
SHH,Shared Health Services,WI
SSS,Shared Service Systems,NE
SRH,Sharon Regional Health System,PA
SHA,Sharp Healthcare,CA
SA3,Shawnee Health Service,IL
SDN,Shenandoah Memorial Hosp Mgmt,IA
LRS,Shepherd Vlly Luthrn Rtrmnt Svs,OH
SPP,Sheppard Pratt Health System,MD
SHC,Shriners Internatnl Headquarter,FL
SGN,Sign Of The Dove,CA
SIG,Signature Healthcare,CA
HQM,Signature Healthcare LLC,KY
SLV,Silvercrest Ctr Nursing/Rehab,NY
080,Silverton Health,OR
05B,Singing River Health System,MS
SIR,SIR Management,IL
SSE,Sisters Of Charity St Elizabeth,NJ
SSP,Sisters Of Mary Presentation,ND
SPH,Sisters Of Providence Hlth Sys,MA
SIA,Sisters Of Saint Agnes,WI
SJP,Sisters Of St Joseph Of Peace,NJ
VIP,Skilled Healthcare,KS
SKI,Skilled Healthcare Group,CA
SBT,Skills Inc,ME
SCR,Smith Care Inc,CA
WDS,SNF Management Services,CA
SED,Soexo Company,MD
SND,Soundcare Inc,WA
059,South Carolina Dept Hlth/Hmn Sv,SC
SCA,South Carolina Hospital Assn,SC
085,South Central Reg Med Ctr,MS
VGU,South Central VA Health Care,MS
SOD,South Dakota Association Hlthcr,SD
SFC,South Florida Hosp & Healthcare,FL
SGA,South Georgia Health System,GA
084,South Nassau Communities Hosp,NY
SHM,Southcoast Health System,MA
SEA,Southeast Alaska Regional Hlth,AK
SGY,Southeast Georgia Hlth Sys Mgmt,GA
ANR,Southeast Healthcare,MO
SIH,Southern Illinois Healthcare,IL
ACF,Southern Illinois Univ Hlthcare,IL
09J,Southern Maine Health Care,ME
STI,Southern Tier Health Care Sys,NY
SSC,Southside Medical Center,GA
SAD,Southwest Healthcare Services,ND
04J,Southwest OH Hlth Cr Affilts,OH
SVT,Southwestern Vermont Healthcare,VT
SOV,Sovereign Health Care,OH
LBE,Sovran Management Co,FL
SPR,Sparks Health System,AR
SAB,Sparrow Health System,MI
SPB,Spartanburg Regional Healthcare,SC
SPS,Specialty Hospitals Of America,NH
SPC,Spectracare,AL
SPD,Spectrum Health,MI
069,Spectrum Healthcare Resources,MO
066,Spectrum Properties,TX
SPO,Spokane United Methodist Homes,WA
SGU,Sprenger Healthcare Systems,OH
092,Springfield Medical Care System,VT
PBY,Springpoint Senior Living,NJ
SRT,SR Administrative Services,CA
SSM,SSM Health Care System,MO
05S,St Andrew's Management Services,MO
SAV,St David's Healthcare,TX
SFA,St Francis Community Services,KS
STF,St Francis Health Services,MN
SAY,St John Providence Health Sys,MI
SJH,St John's Mercy Health Care,MO
04B,St Joseph Health System,MI
060,St Joseph Health System,TX
SAC,St Joseph/Candler Health Care,GA
06O,St Luke Community Healthcare,MT
SLH,St Luke's Iowa Health System,IA
SLU,St Lukes University Health Ntwk,PA
04D,St Mary's Of Michigan,MI
NEH,St Peters Health Partners,NY
SJS,St Vincent Health System,IN
EHE,St Vincent's Health System,AL
047,St Vincents Health Services,CT
04A,St Vincents Healthcare,FL
OST,Stafford Health Services Inc,WA
SFD,Stamford Health System,CT
SNF,Stanford Health Care,CA
0A4,Stanly Health Services,NC
SZS,Stars Behavioral Health Group,CA
SBB,Stebbins Five Co Ltd,TX
STE,Stellaris Health Network,NY
SLG,Sterling Healthcare,GA
CIR,Steward Health Care System,MA
SGR,Stonegate Senior Care LP,TX
SVC,Stormont Vail Healthcare,KS
SA2,Stronghealth,NY
SAO,Suburban Health Organization,IN
SUM,Summa Health System,OH
SMM,Summit Care Inc,FL
SAX,Summit Health,PA
SMC,Sun Mar Healthcare,CA
SNL,Sunlink Health Systems,GA
SNY,Sunnyside Communities Hlth Sys,VA
SRI,Sunrise Senior Living,VA
NAF,Surgery Partners,IL
SQH,Susquehanna Health,PA
SGM,Sutter Health,CA
SWA,Swedish Health Services,WA
FSC,Sylvania Franciscan Health,OH
SYM,Symbion Healthcare,TN
SYU,Systems Unlimited,IA
ARG,TAG Management Services,TX
06V,Tahoe Forest Hospital District,CA
TAJ,Tanner Health System,GA
09L,Taos Health Systems Holy Cross,NM
TAR,Tara Cares,NY
TAY,Taylor Healthcare Network,GA
TEA,Tealwood Care Centers,MN
TEL,Telecare Corporation,CA
TLS,Telesis Consultants LLC,TX
TUH,Temple University Health System,PA
THC,Tenet Healthcare Corporation,TX
THM,Tennessee Health Management Inc,TN
TEN,Tennessee Hospital Association,TN
09O,Tennova Healthcare,TN
TAD,Texas A & M College Of Medicine,TX
TEX,Texas Health Resources,TX
05I,Texas Hospital Association,TX
TTU,Texas Tech University System,TX
TAB,The Ambassador Group,NE
CDI,The Center For Disability Svs,NY
FHA,The Kensington Group,IL
TLU,The Lutheran Home Association,MN
VAI,The Valley Health System,NV
TCH,Thedacare,WI
TAM,Thompson Health,NY
THR,Thro Company,MN
TIF,Tiffany Care Centers Inc,MO
TLC,TLC Management,IN
ACZ,TMC Healthcare,AZ
TMI,TORCH Management Services Inc,TX
TOU,Touchstone Medical Imaging LLC,TN
TOW,Toward Independence Inc,OH
IFI,Tradition Assisted Living,UT
TDH,Traditions Health Care Inc,UT
SLC,Trend Consultants LLC,MS
TAI,Tri Valley Health System,NE
TID,Triad Medical Services,NC
01A,Trihealth Corporation,OH
TLG,Trilogy Health Services,KY
THY,Trinity Health System,OH
TAK,Trinity Mother Frances Hlth Sys,TX
06B,Trinity Nursing Home Management,CA
TTY,Trinity Services Inc,IL
ABV,Trustees Of Shannon,TX
TAH,Tuality Healthcare,OR
TUL,Tullock Management Company,NC
098,Tuomey Healthcare System,SC
TUT,Tutera Group,MO
TAC,Ty Cobb Healthcare System,GA
05W,UAB Health System,AL
AAY,UC Davis Health System,CA
USC,UC Health System,CA
0A8,UC Irvine Health,CA
UAC,UCLA Healthcare,CA
ADA,UCSD Health System,CA
07E,UCSF Health System,CA
UFC,UFCW Health & Welfare,OH
UIO,UI Health Care,IA
UKY,UK Healthcare,KY
UMS,UMass Memorial Health Care,MA
UMY,UMMS Medical System,MD
UNG,UNC Health Care,NC
UCS,Unified Care Services,CA
UHO,Union Hospital,MD
UNN,Union Hospitals Health Group,IN
UBH,Unison Behavioral Health Group,OH
UCH,United Church Homes,OH
UNT,United Church Homes & Services,NC
UNF,United Friends Group Homes,WA
UHS,United Health Services,NY
UAW,United Hospital System Inc,WI
CHH,United Laboratory Network,NY
UMR,United Methodist Retirement Hms,NC
URH,United Regional Healthcare Sys,TX
UNI,United Surgical Partners Intl,TX
UTY,Unity Health System,NY
IOW,Unitypoint Health,IA
TRY,UnityPoint Trinity,IL
UVH,Universal Health Services Inc,PA
UVR,Universal Hospital Services,MN
UAI,University At Buffalo,NY
HAQ,University Cincinnati Health,OH
UET,University Health System,GA
UVS,University Hlth Sys Consortium,IL
UYM,University Hospitals,OH
UAD,University Nevada School Medcn,NV
UAZ,University Of Arizona,AZ
UOA,University Of Arkansas,AR
UA2,University Of Chicago Med Ctr,IL
UCO,University Of Colorado Health,CO
UYT,University Of Connecticut Hlth,CT
UIC,University Of Illinois,IL
KUM,University Of Kansas,KS
UAG,University Of Miami Health Sys,FL
UMG,University Of Michigan Health,MI
UMN,University Of Minnesota,MN
UMM,University Of Mississippi Hlth,MS
UNE,University Of Nebraska Med Ctr,NE
UOT,University Of Tennessee Med Ctr,TN
UVT,University Of Texas Health Sys,TX
UOO,University Of Toledo Med Ctr,OH
UUH,University Of Utah Healthcare,UT
UNV,University Of Virginia Hlth Sys,VA
UWO,University Of Wisconsin Health,WI
UPA,University Penn Hlth Systm,PA
UNX,UNM Hospitals,NM
UPY,UPMC,PA
UPP,Upper Chesapeake Health,MD
UMU,Upstate Medical University,NY
USM,US Skilled Serve,CA
USA,USA Healthcare Inc,AL
UAY,USA Medical Center,AL
USF,USF Health,FL
UHA,Utah Hospital Association,UT
UOW,UW Medicine,WA
VAM,VA Capitol Health Care Network,MD
058,VA Department Of Mental Health,VA
VLA,VA Desert Pacific Healthcare,CA
090,VA Great Lakes Health Care Sys,IL
08Z,VA Healthcare System Of Ohio,OH
08R,VA Heart Of Texas Health Care,TX
08Y,VA Heartland Network,MO
VNY,VA Hlthcare Network Upstate NY,NY
VAT,VA Mid South Healthcare Network,TN
08U,VA Mid-Atlantic Health Care Net,NC
091,VA Midwest Health Care Network,MN
VNE,VA New England Healthcare Sys,MA
VAP,VA Northwest Health Network,WA
VNJ,VA NY/NJ Veterans Hlthcare Ntwk,NY
071,VA Rocky Mountain Network,CO
VAS,VA Sierra Pacific Network,CA
08W,VA Southeast Network VISN 7,GA
08X,VA Southwest Health Care Net,AZ
08T,VA Stars & Stripes Healthcare,PA
08V,VA Sunshine Healthcare Network,FL
VAD,Valley Baptist Health System,TX
VLY,Valley Health,VA
VYH,Valley Health System,NJ
VHO,Valley Hope Association,KS
VAV,Valley Vista Care,ID
04F,Valley-Wide Health Systems Inc,CO
VAJ,Valleycare Health System,CA
FUM,ValleyCare Health System Ohio,OH
SLP,Van Healthcare,TX
VNC,Vancrest Health Care Centers,OH
VBU,Vanderbilt University Med Ctr,TN
VAU,Vanguard Healthcare,TN
VAN,Vantage Health Group,PA
MAS,VCU Health System,VA
08S,Veterans In Partnership Hlth,MI
VET,Vetter Health Services,NE
VHA,VHA Inc,TX
CLS,Vi Living,IL
VAB,Via Christi Health System,KS
VHB,Vibra Healthcare,PA
095,Victory Healthcare,TX
UAP,Vidant Health,NC
VIG,Vintage Senior Living,CA
VDH,Virginia Department Of Health,VA
VHR,Virginia Health Services Inc,VA
VHH,Virginia Hosp & Healthcare Assn,VA
VLU,Virginia Lutheran Homes Inc,VA
VAG,Virginia Mason Health System,WA
VRG,Virginia United Methodist Homes,VA
VIU,Virtua Health,NJ
VHF,Vista Hill Foundation,CA
PNM,Vivage Quality Health Partners,CO
VOB,Volunteer Behavioral Healthcare,TN
VOL,Volunteers Of America,MN
VHC,Vrable Healthcare Companies,OH
ACR,Wake Forest Baptist Health,NC
WKH,Wakemed Health & Hospitals,NC
0AG,Waldo County General Healthcare,ME
WAL,Walker Methodist,MN
WRM,Washington Regional,AR
WSA,Washington State Hospital Assoc,WA
WAA,Wayne Memorial Health System,PA
WYN,Wayne State University,MI
WHR,Welch Health Care,MA
06M,Welcov Healthcare,MN
WEF,Wellflorida Council,FL
WLN,Wellington Healthcare,GA
WLG,Wellington Management,MO
WMH,Wellmont Health System,TN
WLH,Wells Health Systems,KY
WAC,Wellspan Health,PA
WNH,Wellstar Health System,GA
WHC,Wesley Healthcare System,MS
WRS,Wesley Life,IA
WGA,West Georgia Health System,GA
WAS,West Penn Allegheny Health Sys,PA
WAG,West Tennessee Healthcare,TN
WVG,West Virginia United Health Sys,WV
WSC,Westcare,NV
WST,Westcare Health System,NC
WET,Westcare Management,OR
DAA,Western Connecticut Hlth Ntwrk,CT
06Z,Western Healthcare,ID
WES,Western Maine Health,ME
WAB,Western Maryland Health System,MD
WNY,Western New York Hlthcare Assn,NY
WRC,Westminster Communities Florida,FL
WSP,Westport Sr Living Communities,FL
AAZ,Wheaton Franciscan Health Care,WI
WHE,Wheeling Hospital Inc,WV
WOK,White Oak Management INC,SC
XAV,White Oak Senior Care,MD
WHI,Whittier Health Network,MA
WKS,Willis-Knighton Health System,LA
WVA,Willow Valley Retirement Comm,PA
WLC,Wilmac Corporation,PA
TWI,Wilson Senior Care,SC
WNZ,Winchester Hospital System,MA
MNG,Windsor Care Center,KY
07F,Windsor Healthcare Communities,NJ
WIN,Windsor House Inc,OH
SRD,Wingate Health Care,MA
WCM,Winston Medical Center Mgmt,MS
WIS,Wisconsin Hospital Association,WI
WSK,Wishek Community Hosp & Clinics,ND
WAE,Witham Health Services,IN
WOO,Woodworth Enterprises,KS
WOR,Worcester District Med Society,MA
WYA,Wyoming Hospital Association,WY
YNH,Yale New Haven Health System,CT
YAN,Yankee Alliance,MA
YHO,York Hospital,ME
YOF,Youth Focus,NC
ZAN,Zandex,OH
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
