Code7,Affiliation Code,STATE
CAN,Canonsburg General Hospital,PA
CAP,Cape Coral Hospital,FL
CAS,Castle Medical Center,HI
CAT,Catskill Regional Medical Ctr,NY
CAU,Children's Hospital Colorado,CO
CAV,Christiana Hospital,DE
CAW,Carteret General Hospital,NC
CAX,Central Florida Regional Hosp,FL
CAY,Citizens Medical Center,TX
CAZ,Children's Hosp & Clins Minnsta,MN
CB1,Copley Hospital,VT
CB2,Camden General Hospital,TN
CB3,Turtle Lake Community Mem Hosp,ND
CB4,Columbus Community Hospital,TX
CB5,Carlisle Regional Medical Ctr,PA
CB7,Copper Queen Community Hospital,AZ
CB8,Conroe Regional Medical Center,TX
CB9,Colorado River Medical Center,CA
CBB,Tristar Centennl Med Ctr Ashlnd,TN
CBD,Advocate Condell Medical Center,IL
CBE,Colquitt Regional Med Ctr,GA
CBF,CVPH Medical Center,NY
CBH,Catawba Valley Medical Center,NC
CBI,Hillcrest Hospital Cushing,OK
CBJ,Lakeland Community Hsptl Wtrvlt,MI
CBK,El Camino Hospital Of Los Gatos,CA
CBL,Penn Medicine Chester Cny Hosp,PA
CBM,Community Medical Center,NJ
CBO,Callahan Eye Hospital,AL
CBP,Mitchell County Hospital,GA
CBQ,Cambridge Hospital,MA
CBR,Cookeville Regional Medical Ctr,TN
CBT,Provident Hospital Of Cook Cny,IL
CBU,Western Reserve Hospital,OH
CBV,Mercy Regional Medical Center,OH
CBW,Columbus Community Hospital Inc,NE
CBX,Caldwell Medical Center,KY
CBY,Central Montana Medical Center,MT
CBZ,Children's Hospital Of Michigan,MI
CC1,Cass Regional Medical Center,MO
CC3,Carondelet Holy Cross Hospital,AZ
CC4,Coleman County Medical Center,TX
CC7,SSM Saint Joseph's Health Ctr,MO
CC8,Children's Hospital Of Phldlpha,PA
CC9,Chinese Hospital,CA
CCA,Cochran Memorial Hospital,TX
CCB,Covenant Medical Center,IA
CCC,Seattle Children's Hospital,WA
CCF,West Palm Hospital,FL
CCG,Carroll Hospital Center,MD
CCH,Candler County Hospital,GA
CCI,Citrus Valley Medical Center,CA
CCJ,Cumberland Medical Center,TN
CCK,Calvert Memorial Hospital,MD
CCL,Chino Valley Medical Center,CA
CCM,Cassia Regional Medical Center,ID
CCN,Community Memorial Hospital,OH
CCO,Cook Children's Medical Center,TX
CCP,Cape Cod Hospital,MA
CCQ,Centrastate Medical Center,NJ
CCR,Highland Community Hospital,MS
CCS,Central Washington Hospital,WA
CCW,Central Vermont Medical Center,VT
CCX,Coshocton County Mem Hosp Assoc,OH
CCY,Coastal Communities Hospital,CA
CCZ,Cypress Fairbanks Medical Ctr,TX
CD1,Central Mississippi Medical Ctr,MS
CD3,Citrus Memorial Health System,FL
CD4,Kosair Children's Hospital,KY
CD6,Culpeper Regional Hospital,VA
CD7,Capital Regional Medical Center,FL
CD8,Cabell Huntington Hospital,WV
CDA,Cameron Memorial Hospital,IN
CDC,Camden-Clark Med Ctr Mmrl Cmps,WV
CDE,Columbus Community Hospital,WI
CDF,Capital Medical Center,WA
CDG,Clark Memorial Hospital,IN
CDH,Children's Hospital Pitts UPMC,PA
CDI,Penn Highlands Clearfield,PA
CDJ,Crossroads Community Hospital,IL
CDK,Corona Regional Medical Center,CA
CDL,Central Carolina Hospital,NC
CDM,Capital Health Regnl Med Ctr,NJ
CDO,Columbia Memorial Hospital,NY
CDP,Central Dupage Hospital,IL
CDQ,CHOC Children's Hospital,CA
CDR,University Of Miami Hospital,FL
CDS,Cedars-Sinai Medical Center,CA
CDT,Cobre Valley Regional Med Ctr,AZ
CDU,Doctors Regional Medical Center,TX
CDW,Skyridge Medical Center,TN
CDX,Conway Regional Medical Center,AR
CDY,Cortland Regional Medical Ctr,NY
CDZ,College Station Medical Center,TX
CE1,Houston Methodist St John Hosp,TX
CE2,Coosa Valley Medical Center,AL
CE4,Caldwell Memorial Hospital,NC
CE5,Columbus Regional Health,IN
CE7,Lancaster General Hospital,PA
CE8,Crockett Hospital,TN
CEA,Craig Hospital,CO
CEC,Carson Tahoe Reg Med Ctr,NV
CEE,Community Hospital,WY
CEF,Berkeley Medical Center,WV
CEG,Chesapeake Regional Med Ctr,VA
CEH,Coffey Health System,KS
CEI,Carolinaeast Medical Center,NC
CEJ,Banner Churchill Community Hosp,NV
CEK,Crisp Regional Hospital,GA
CEL,Centinela Hospital Medical Ctr,CA
CEM,Our Lady Of Peace,KY
CEN,Campbell County Memorial Hosp,WY
CEO,Caro Community Hospital,MI
CEQ,Cypress Creek Hospital,TX
CER,Univ Of MD Shore Med Ctr Chestr,MD
CES,Clarendon Memorial Hospital,SC
CET,Baptists Health Lexington,KY
CEU,Cannon Memorial Hospital,SC
CEW,Chelsea Community Hospital,MI
CEX,Central Peninsula Hospital,AK
CF1,Caribou Memorial Hospital,ID
CF2,Children's Hospital San Antonio,TX
CF5,Cozad Community Hospital,NE
CF6,North Mississippi Med Ctr-W Pnt,MS
CF8,Christus St Patrick Hospital,LA
CF9,Charlotte Hungerford Hospital,CT
CFA,Chesterfield General Hospital,SC
CFB,Community Hospital Huntngtn Prk,CA
CFC,Conway Medical Center,SC
CFF,Coffeyville Regional Med Ctr,KS
CFG,Mclaren Central Michigan,MI
CFH,Colorado Plains Medical Center,CO
CFI,Lansdale Hospital,PA
CFJ,Clifton Springs Hosp & Clinic,NY
CFK,Community Memorial Hospital,MN
CFM,Colleton Medical Center,SC
CFN,College Hospital Cerritos,CA
CFO,Caswell Developmental Center,NC
CFP,Crittenton Hospital Medical Ctr,MI
CFQ,Carle Foundation Hospital,IL
CFR,Crestwood Medical Center,AL
CFT,Vidant Chowan Hospital,NC
CFV,Columbus Regional Healthcr Sys,NC
CFW,Canton Potsdam Hospital,NY
CFX,Claxton-Hepburn Medical Center,NY
CFY,Crook County Medical Svs Dist,WY
CFZ,Contra Costa Reg Med Ctr,CA
CG1,Chippewa Valley Hospital,WI
CG2,Chippewa County Montevideo Hosp,MN
CG3,Harrison Community Hospital,OH
CG4,Campbellton-Graceville Hospital,FL
CG5,Children's Hospital,LA
CG7,Cordova Community Medical Ctr,AK
CG8,Centennial Peaks Hospital,CO
CG9,Children's National Medical Ctr,DC
CGA,Crenshaw Community Hospital,AL
CGB,Clara Maass Medical Center,NJ
CGC,Nix Community General Hosp Dlly,TX
CGD,DM Cogdell Memorial Hospital,TX
CGF,Community Memorial Hospital,IL
CGG,Cascade Medical Center,WA
CGH,Coral Gables Hospital,FL
CGI,Sanford Bagley Medical Center,MN
CGJ,Cheshire Med Ctr Drtmth Hthcock,NH
CGK,Upper Connecticut Valley Hosp,NH
CGL,Charles A Cannon Jr Mem Hosp,NC
CGM,Cary Medical Center,ME
CGN,Cannon Falls Medical Center,MN
CGO,Cherry County Hospital,NE
CGP,Cook Hospital,MN
CGQ,Charles Cole Memorial Hospital,PA
CGR,Cuyuna Regional Medical Center,MN
CGS,Castleview Hospital,UT
CGT,Avera Creighton Hospital,NE
CGU,Chatham Hospital,NC
CGV,Corry Memorial Hospital,PA
CGW,Cross Ridge Community Hospital,AR
CGX,Cook County North Shore Hosp,MN
CGZ,Ann & Robert H Lurie Chld Hosp,IL
CH1,Carolinas Contcare Hosp Kng Mtn,NC
CH2,Camden Campus,GA
CH3,Connecticut Mental Health Ctr,CT
CH4,Clay County Healthcare Athty,AL
CH5,Chester Regional Medical Center,SC
CH6,VCU Community Memorial Hospital,VA
CH7,Community Medical Center,NE
CH8,Community Health Center,MI
CHA,Children's Hospital Of Macon,GA
CHC,Children's Of Alabama,AL
CHD,Nationwide Children's Hospital,OH
CHG,Chambersburg Hospital,PA
CHH,Chestnut Hill Hospital,PA
CHI,UCSF Benioff Chldrn Hosp Oaklnd,CA
CHK,Midmichigan Medical Center-Clar,MI
CHL,Covenant Healthcare,MI
CHN,Children's Medical Center,TX
CHP,Community Hospital Long Beach,CA
CHQ,Cottage Hospital,NH
CHR,Cherry Hospital,NC
CHS,Children's Hospital & Med Ctr,NE
CHV,Calais Regional Hospital,ME
CHW,Charles Dean Memorial Hospital,ME
CHZ,Connecticut Valley Hospital,CT
CI1,Centegra Hospital,IL
CI3,Claiborne County Hospital,TN
CI4,White County Medical Center,AR
CI5,Catawba Hospital,VA
CI6,Central State Hospital,VA
CI7,Cumberland Hospital,VA
CI8,Community Hospital,CO
CIA,Florida Hospital Celebration,FL
CIC,Crawford Memorial Hospital,IL
CID,Clinton Hospital,MA
CIE,Carthage Area Hospital,NY
CIF,Clay County Memorial Hospital,TX
CIG,Cedar County Memorial Hospital,MO
CIH,Cibola General Hospital,NM
CII,Clay County Hospital,IL
CIK,Cambridge Medical Center,MN
CIN,Saint Lukes Cushing Hospital,KS
CIO,Cavalier County Mem Hosp Assn,ND
CIQ,Medical Center Trinity,FL
CIU,Central Valley Medical Center,UT
CIV,Carolina Pines Regional Med Ctr,SC
CIZ,Chase County Community Hospital,NE
CJ1,Chatuge Regional Hospital,GA
CJ2,Chestatee Regional Hospital,GA
CJ3,Clinch Memorial Hospital,GA
CJ4,Ty Cobb Regional Medical Center,GA
CJ5,Pioneer Community Hosp Choctaw,MS
CJ6,Claiborn County Hospital,MS
CJ7,Covington County Hospital,MS
CJ9,Copper Basin Medical Center,TN
CJA,Hillcrest Hospital Claremore,OK
CJB,Community Memorial Hospital,NY
CJC,Saint John's Riverside Dbb Frry,NY
CJD,Rady Children's Hospital,CA
CJF,Community Hospital Of Mntry Pen,CA
CJH,Peace Hlth Cottge Grv Comm Med,OR
CJI,Curry General Hospital,OR
CJJ,Clark Fork Valley Hospital,MT
CJL,Community Hospital Of Anaconda,MT
CJM,Columbia Basin Hospital,WA
CJN,Coulee Medical Center,WA
CJO,Cache Valley Hospital,UT
CJP,California Hospital Medical Ctr,CA
CJQ,Children's Hospital Los Angeles,CA
CJR,Children's Hospital Central CA,CA
CJS,Coalinga Regional Medical Ctr,CA
CJT,Kindred Hospital South Bay,CA
CJU,Children's Care Hospital/School,SD
CJV,Custer Regional Hospital,SD
CJW,UNM Carrie Tingley Hospital,NM
CJY,Central State Hospital,GA
CK1,Cass County Memorial Hospital,IA
CK2,Central Community Hospital,IA
CK3,Clarinda Regional Health Center,IA
CK4,Clarke County Hospital,IA
CK5,Community Memorial Hospital,IA
CK6,Crawford County Memorial Hosp,IA
CK7,Callaway Community Hospital,MO
CK8,Cameron Regional Medical Center,MO
CK9,Carroll County Memorial Hosp,MO
CKA,Cumberland River Hospital,TN
CKD,Columbia Saint Mary's Hosp Ozke,WI
CKE,Carroll County Memorial Hosp,KY
CKF,Central State Hospital,KY
CKG,Clinton County Hospital,KY
CKI,Cumberland County Hospital,KY
CKJ,Cumberland Hall Hospital,KY
CKK,Dayton Children's Hospital,OH
CKL,Calhoun-Liberty Hospital,FL
CKM,Cleveland Clinic Hospital,FL
CKN,Carlinville Area Hospital,IL
CKO,OSF Holy Family Medical Center,IL
CKP,Aurora Chicago Lakeshore Hsp,IL
CKS,Silver Lake Medical Center,CA
CKT,Crane Memorial Hospital,TX
CKU,Covenant Medical Center,TX
CKW,Southeast Hospital,MO
CKX,Cumberland Health Care,WI
CKY,Cleveland Regional Hospital,TX
CKZ,Sharp Coronado Hosp Hlthcre Cnt,CA
CL1,Community Hospital,NE
CL2,Community Memorial Hospital,NE
CL4,Crete Area Medical Center,NE
CL6,Cheyenne County Hospital,KS
CL7,Citizens Medical Center,KS
CL8,Clara Barton Hospital,KS
CL9,Clay County Medical Center,KS
CLA,Center Pointe Hospital,MO
CLB,Citizens Memorial Hospital Dist,MO
CLC,Women's & Children's Hospital,MO
CLD,Steward Carney Hospital,MA
CLE,Cooper County Memorial Hospital,MO
CLF,Carnegie Tri-County Muncpl Hosp,OK
CLG,Choctaw Memorial Hospital,OK
CLH,Emory University Hosp Midtown,GA
CLI,Cimarron Memorial Hospital,OK
CLK,Epic Medical Center,OK
CLL,Cordell Memorial Hospital,OK
CLM,Columbia Memorial Hospital,OR
CLN,Craig General Hospital,OK
CLO,Creek Nation Community Hospital,OK
CLP,University Of CO Hlth Mem Hosp,CO
CLQ,Cooperstown Medical Center,ND
CLR,Clear Lake Regional Medical Ctr,TX
CLS,Carolinas Hospital Women's Ctr,SC
CLT,Chilton Medical Center,NJ
CLU,Sanford Canton-Inwood Med Ctr,SD
CLW,Community Memorial Hospital,SD
CLX,Coteau Des Prairies Hlth Cr Sys,SD
CLY,Callaway District Hospital,NE
CLZ,Chadron Community Hosp Hlth Svs,NE
CM1,Community Behavioral Health Ctr,CA
CM2,Community Hospital Fairfax,MO
CM3,Calhoun Health Services,MS
CM6,San Luis Valley Health Conejos,CO
CM7,Children's Mercy Hospitals/Clin,MO
CM8,Carilion Giles Community Hosp,VA
CMA,Cloud County Health Center,KS
CMB,Comanche County Hospital,KS
CMC,Cayuga Medical Center-Ithaca,NY
CME,Community Memorial Healthcare,KS
CMF,Caldwell Memorial Hospital,LA
CMG,Citizens Medical Center,LA
CMH,Clinton Memorial Hospital,OH
CMI,Christus Coushatta Health Care,LA
CMJ,Christus Saint Frncs Cbrni Hosp,LA
CMK,Community Care Hospital,LA
CMM,Community Medical Center Inc,MT
CMN,Geisinger Community Med Ctr,PA
CMO,Community Hospital,IN
CMP,Cozby-Germany Hospital,TX
CMQ,Crosbyton Clinic Hospital,TX
CMS,Colusa Regional Medical Center,CA
CMT,Charleston Area Medical Ctr Mem,WV
CMU,Community Memorial Hospital,CA
CMV,Cardinal Hill Rehab Hosp,KY
CMW,Charlton Memorial Hospital,MA
CMX,St. Joseph's/Candler,GA
CN3,Carolinas Hospital System,SC
CN4,Christus Spohn Hospital Shoreln,TX
CN7,Dell Children's Medical Center,TX
CN9,Christus Hospital Saint Elizbth,TX
CNA,Doctors Specialty Hospital,GA
CNB,Chicot Memorial Medical Center,AR
CNF,Cedar Springs Hospital,CO
CNI,Carilion New River Vlly Med Ctr,VA
CNJ,Methodist Hospital,KY
CNK,Childrn Hosp Rehab Clvlnd Clin,OH
CNL,Central Valley General Hospital,CA
CNN,SSM Cardinal Glennon Children's,MO
CNP,Cox Medical Center North,MO
CNQ,Meyer Orthopedic & Rehab Hosp,MO
CNS,Morgan Stanley Children's Hosp,NY
CNT,Central Maine Medical Center,ME
CNU,Cascade Medical Center,ID
CNV,Memorial Hospital,IL
CNW,New York Presby Hosp Colmb Univ,NY
CNY,Christus Highland Hospital,LA
CNZ,Houston Methodist St Cthrn Hosp,TX
COA,Christus Saint Michael Hlth Sys,TX
COB,Chambers Memorial Hospital,AR
COC,Concord Hospital,NH
COD,Claremore Indian Hospital,OK
COE,Rangely District Hospital,CO
CON,Wilma N Vazquez Medical Center,PR
COO,Cooley Dickinson Hospital,MA
COT,Froedtert/Med Coll Wis Comm Mem,WI
COU,Centro Cardiovascular De PR,PR
COW,Community Healthlink,MA
COX,Lahey Health Behavioral Health,MA
COY,Coney Island Hospital,NY
COZ,Cape Cod & Islnd Comm Mntl Hlth,MA
CPA,Crotched Mountain Rehab Center,NH
CPB,Weatherford Regional Med Ctr,TX
CPF,New Hnvr Reg Med Ctr Ortho Hosp,NC
CPG,Osborn Correctional Facility,CT
CPH,Cooper University Hospital,NJ
CPK,Christian Health Care Center,NJ
CPL,Camden County Health Svs Ctr,NJ
CPM,Calif Pcfc Med Ctr Calif Cmps,CA
CPN,Carrier Clinic,NJ
CPO,Children's Specialized Hospital,NJ
CPP,Cornerstone Of Medical Arts Ctr,NY
CPR,Calvary Hospital,NY
CPS,Calvary Hospital-Brooklyn Cmpus,NY
CPT,Creedmoor Psychiatric Center,NY
CPU,Coxsackie Correctional Facility,NY
CPV,Capital District Psych Ctr,NY
CPW,Conifer Park,NY
CPY,Catskill Reg Med Ctr Grvr M Hrm,NY
CPZ,Coast Plaza Hospital,CA
CQB,Clinton Correctional Facility,NY
CQC,Cayuga Correctional Facility,NY
CQE,Central NY Psychiatric Center,NY
CQG,Cape Vincent Correctional,NY
CQH,Clifton-Fine Hospital,NY
CQI,Canandaigua VA Medical Center,NY
CQJ,Crestwood Children's Center,NY
CQK,Cuba Memorial Hospital,NY
CQL,Children's Home Of Pittsburgh,PA
CQM,Conemaugh Memorial Hospital Cnt,PA
CQN,Clarion Psychiatric Center,PA
CQO,Cove Forge Behavioral Health,PA
CQP,Clarks Summit State Hospital,PA
CQQ,Clear Brook Lodge,PA
CQR,Clear Brook Manor,PA
CQT,Wyndmoor Hills Hlth & Rehab Ctr,PA
CQV,Childrens Behavioral Health Ctr,PA
CQW,Caron Treatment Center,PA
CQX,Clifton T Perkins Hospital Cntr,MD
CQZ,Advocate Christ Medical Center,IL
CR7,Crittenden Health Systems,KY
CRA,Carolinas Medical Center,NC
CRB,Adventist Behavioral Health,MD
CRC,Halquist Memorial Inpatient Ctr,VA
CRD,Clark Regional Medical Center,KY
CRF,Children's Hospital Richmnd VCU,VA
CRG,Chandler Regional Medical Ctr,AZ
CRH,Clarion Hospital,PA
CRI,Chippenham Hospital,VA
CRJ,Commonwealth Ctr Chldrn/Adlscnt,VA
CRK,Central Virginia Training Ctr,VA
CRL,Charleston Area Medical Center,WV
CRN,Chestnut Ridge Center,WV
CRO,Central Prison Healthcare Cplx,NC
CRP,Coastal Plain Hospital,NC
CRQ,Carolinas Rehabilitation,NC
CRR,Carolinas Medical Ctr-Pineville,NC
CRS,Carolina Med Ctr Univ,NC
CRT,Cherokee Indian Hospital Auth,NC
CRU,Carepartners Rehabilitation Hsp,NC
CRW,Coastal Center,SC
CRY,The Carolina Center Behvrl Hlth,SC
CRZ,Crozer Chester Medical Center,PA
CSA,Banner Casa Grande Med Ctr,AZ
CSB,Carl Vinson VA Medical Center,GA
CSC,Coliseum Center Behavioral Hlth,GA
CSD,Coastal Harbor Health System,GA
CSE,D'Albora Childrns Crss Stablztn,FL
CSG,Citrus Health Network,FL
CSH,Children's Hospital Of Wisconsn,WI
CSL,Children's Specialized Hospital,NJ
CSM,Broward Health Coral Springs,FL
CSN,Carson Health,MI
CSQ,Tristar Centennial Medical Ctr,TN
CSR,Tristar Centennial Women's/Chld,TN
CST,Clover Bottom Developmental Ctr,TN
CSW,MDOC Correctional Medicine,MS
CSX,Choctaw Health Center,MS
CSY,Casey County Hospital,KY
CSZ,Columbus Developmental Center,OH
CTB,Community Hospital/Wellness Ctr,OH
CTC,Cleveland House Of Corrections,OH
CTD,Cleveland Clinic,OH
CTE,Akron Children's Hospital,OH
CTF,Children's Hospital Medical Ctr,OH
CTH,Christ Hospital,OH
CTJ,Community Hospital Of Anderson,IN
CTK,Community Hospital East,IN
CTL,Catholic Medical Center,NH
CTM,Covenant Hospital Plainview,TX
CTN,Community Health Network South,IN
CTO,Community Hospital North,IN
CTP,Community Mental Health Center,IN
CTQ,Center For Forensic Psychiatry,MI
CTR,Covenant Medical Center Rehab,MI
CTS,Covenant Healthcare Harrison,MI
CTT,Caro Center,MI
CTU,Sparrow Clinton Hospital,MI
CTV,Childserve,IA
CTW,Cherokee Mental Health Inst,IA
CTX,Central Texas Medical Center,TX
CTY,Clarinda Mental Health Inst,IA
CTZ,Central Wisconsin Center,WI
CUA,Community Memorial Hospital,WI
CUB,Caledonia Care And Rehab,MN
CUC,Cass Lake Indian Hlth Svs Hosp,MN
CUD,Carrington Health Center,ND
CUE,Cuero Community Hospital,TX
CUF,Crow-Northern Cheyenne Hospital,MT
CUH,UC Medical Center,OH
CUI,Chicago Read Mental Health Ctr,IL
CUJ,Abraxas Youth And Family Svs,IL
CUK,CGH Medical Center,IL
CUL,Cullman Regional Medical Center,AL
CUM,Calumet Medical Center,WI
CUN,Chester Mental Health Center,IL
CUO,Clyde L Choate Mntl Hlth & Dev,IL
CUP,Crittenton Children's Center,MO
CUQ,Capital Region Medical Center,MO
CUR,Children's Mercy South,KS
CUT,Horton Community Hospital,KS
CUU,Community Healthcare System,KS
CUV,Eastern Kansas Healthcare Sys,KS
CUW,Lutheran Family Services,NE
CUY,Community Specialty Hospita,LA
CUZ,Cornerstone Hosp Sthwst Louisna,LA
CVA,AMG Specialty Hospital Felicna,LA
CVB,Christus Health Shreveport-Boss,LA
CVC,Cornerstone Hospital Bossier,LA
CVD,Cornerstone Hospital,LA
CVE,Longleaf Hospital,LA
CVF,Central Louisiana State Hosp,LA
CVG,Ouachita Rvr Hosp Specl Nds Unt,AR
CVH,Coquille Valley Hospital,OR
CVI,Conway Human Development Center,AR
CVM,Clinch Valley Medical Center,VA
CVN,Cleveland Area Hospital,OK
CVO,AMG Specialty Hospital-Tulsa,OK
CVP,Univ Of MD Charles Reg Med Cnt,MD
CVQ,Cancer Treatment Centers Amrica,OK
CVR,Cleveland Regional Medical Ctr,NC
CVS,Carl Albert Cmnty Mntl Hlth Cnt,OK
CVU,Choctaw Nation Health Care Ctr,OK
CVV,Chickasaw Nation Medical Center,OK
CVW,Cedar Crest Hospital & RTC,TX
CVX,Little River Cameron Hospital,TX
CVY,Cascade Valley Hospital,WA
CVZ,Coryell Memorial Healthcare Sys,TX
CWA,Concho County Hospital,TX
CWC,Cornerstone Hospital Of Houston,TX
CWD,Cornerstone Hosp Houstn Clr Lke,TX
CWE,Kindred Rehab Hosp Clr Lke,TX
CWF,Christus Spohn Beeville Hosp,TX
CWG,Connally Memorial Medical Ctr,TX
CWH,Christus Santa Rosa Chldrn Hosp,TX
CWI,Christus Santa Rosa Med Ctr,TX
CWL,Christus Spohn Alice Hospital,TX
CWM,Christus Spohn Hospital Kleberg,TX
CWO,Christus Spohn Hosp Crps Chrsti,TX
CWP,Corpus Christi Med Ctr Bay Area,TX
CWQ,Christus Spohn Hospital South,TX
CWU,Cornerstone Healthcr Hosp Austn,TX
CWV,Coon Memorial Hospital,TX
CWW,Collingsworth General Hospital,TX
CWX,Childress Regional Medical Ctr,TX
CWY,Chillicothe Hospital District,TX
CWZ,Covenant Hospital Levelland,TX
CXA,Culberson Hospital,TX
CXB,Childrns Hosp CO Outpat Speclty,CO
CXD,Colorado Mntl Hlth Inst Frt Lgn,CO
CXE,Colorado Mental Health Inst,CO
CXF,Colorado Territorial Corrct Fac,CO
CXH,Cheyenne VA Medical Center,WY
CXI,Memorial Hosp Of Converse Cnty,WY
CXJ,Canyon View Behavioral Health,ID
CXK,Upstate University Hospital,NY
CXL,Clearwater Valley Hospital,ID
CXM,Copper Hills Youth Center,UT
CXN,Carl T Hayden VA Medical Center,AZ
CXO,Copper Mountain Inn,AZ
CXP,Cornerstone Hospital SE AZ,AZ
CXQ,Chinle Comprehensive Care Fac,AZ
CXR,Crownpoint Healthcare Facility,NM
CXU,City Of Hope National Med Ctr,CA
CXV,California Institution For Men,CA
CXW,Canyon Ridge Hospital,CA
CXX,Christian Hospital,MO
CXY,Casa Colina Centers For Rehab,CA
CXZ,Silver Lake Medical Center,CA
CYA,Citrus Valley Medical Center,CA
CYB,Vibra Hospital Of San Diego,CA
CYC,College Hospital Costa Mesa,CA
CYD,CHOC Children's At Mission Hosp,CA
CYE,Corona Reg Med Ctr Rehab Hosp,CA
CYF,California Stt Prisn Hosp Crcrn,CA
CYG,Kaweah Delta Rehab Center,CA
CYH,California Men's Colony,CA
CYI,Clovis Community Medical Center,CA
CYK,Cordilleras Mental Health Ctr,CA
CYL,California Pacific Med Ctr Davs,CA
CYM,California Pacific Medical Ctr,CA
CYN,Saint Helena Center Behvrl Hlth,CA
CYO,Children's Recovery Center,CA
CYQ,California State Prison,CA
CYR,Coffee Regional Medical Center,GA
CYS,California Medical Facility,CA
CYT,Windsor Chico Creek Cr & Rehab,CA
CYU,Crossroad Medical Center,AK
CYV,Centegra Hospital Woodstock,IL
CYW,Carilion Saint Albns Bhvrl Hlth,VA
CYX,Carelink Of Jackson,MI
CYY,United Hosp Sys Knsha Med Ctr,WI
CYZ,Children's Hospital Of Wiscon,WI
CZA,OU Medical Center The Chld Hosp,OK
CZC,Cape Fear Valley Medical Center,NC
CZE,Connecticut Childrens Med Ctr,CT
CZH,Cornerstone Hospital,WV
CZI,Centennial Medical Center,TX
CZJ,IU Health North Hospital,IN
DA1,Doctors Community Hospital,MD
DA4,Doctors Hospital At Whte Rck Lk,TX
DA6,Del Sol Medical Center,TX
DA7,Desert Valley Hospital,CA
DA8,Delaware Valley Hospital,NY
DAA,Doylestown Hospital,PA
DAB,Delta Community Medical Center,UT
DAC,Ministry Door County Med Ctr,WI
DAE,Duke University Medical Center,NC
DAF,Driscoll Children's Hospital,TX
DAG,Bon Secours Depaul Medical Ctr,VA
DAH,Denver Health Medical Center,CO
DAJ,Dimmit Regional Hospital,TX
DAK,Dukes Memorial Hospital,IN
DAL,Duane L Waters Health Center,MI
DAM,Duke Regional Hospital,NC
DAN,Danbury Hospital,CT
DAO,Dequincy Memorial Hospital,LA
DAP,Delaware County Memorial Hosp,PA
DAQ,Ohio Health Doctors Hospital,OH
DAR,Delta Medical Center,TN
DAS,Dickenson Community Hospital,VA
DAT,Doctors Hospital Of Manteca,CA
DAU,Delta Regional Medical Center,MS
DAV,Decatur County General Hospital,TN
DAW,Texas Health Prsbytn Hosp Dentn,TX
DAY,Day Kimball Healthcare Inc,CT
DAZ,Billings Clinic Hospital,MT
DB1,Desert Hills Center For Youth,NM
DB3,Doctor's Memorial Hospital,FL
DB4,River Valley Medical Center,AR
DB5,Dayton General Hospital,WA
DB6,Degraff Memorial Hospital,NY
DB7,De Queen Medical Center,AR
DB8,Del Amo Behavioral Health,CA
DBA,Delano Regional Medical Center,CA
DBC,Wake Frst Bap Hlth Dvie Med Ctr,NC
DBD,Community Hospital,AL
DBE,Decatur Memorial Hospital,IL
DBF,Dubois Regional Medical Ctr E,PA
DBG,Doernbecher Children's Hospital,OR
DBH,Divine Savior Healthcare,WI
DBI,Davis Regional Medical Center,NC
DBJ,Delray Medical Center,FL
DBK,Danville Regional Med Center,VA
DBL,DW Mcmillan Memorial Hospital,AL
DBM,Dekalb Medical Center,GA
DBN,Aultman Orrville Hospital,OH
DBQ,Dale Medical Center,AL
DBR,Vidant Duplin Hospital,NC
DBU,Dauterive Hospital,LA
DBW,Desoto Memorial Hospital,FL
DBX,Avera De Smet Memorial Hospital,SD
DBY,Davis County Hospital,IA
DC3,Dallas County Hospital,IA
DC4,Decatur County Hospital,IA
DC6,Duncan Regional Hospital,OK
DC7,De Witt Hospital,AR
DCA,Deckerville Community Hospital,MI
DCC,Richland Parish Hospital-Delhi,LA
DCD,Delta County Memorial Hospital,CO
DCE,Delta Memorial Hospital,AR
DCG,Donalsonville Hospital,GA
DCH,Decatur County Memorial Hosp,IN
DCJ,Dallas County Medical Center,AR
DCK,Down East Community Hospital,ME
DCL,Essentia Health Deer River,MN
DCM,Devereux Florida,FL
DCO,Saint Vincent Dunn Hospital,IN
DCP,Deaconess Hospital,WA
DCR,Doctor's Hospital,FL
DCS,Wellstar Douglas Hospital,GA
DCT,Dorminy Medical Center,GA
DCV,Daviess Community Hospital,IN
DCW,Jackson South Community Hosp,FL
DCY,Dearborn County Hospital,IN
DCZ,Drew Memorial Hospital,AR
DD1,Duke Raleigh Hospital,NC
DDC,Dartmouth Hitchcock Medical Ctr,NH
DDD,Ozarks Community Hospital,MO
DDE,Sanford Clear Lake Medical Ctr,SD
DDF,Douglas County Memorial Hosp,SD
DDG,Douglas County Health Center,NE
DDH,Dundy County Hospital,NE
DDI,Decatur Health Systems,KS
DDK,Comanche County Medical Center,TX
DDP,Dr Dan C Trigg Memorial Hosp,NM
DDR,Arnot Health System Ira Davnprt,NY
DDS,J Arthur Dosher Memorial Hosp,NC
DDW,Montclair Hospital Medical Ctr,CA
DDX,Dickinson County Memorial Hosp,MI
DDY,Christus Dubuis Hosp Beaumnt,TX
DEB,Deerfield Academy Health Center,MA
DEC,Dept Develpmntl Svs NE Reg Hogn,MA
DED,Dana-Farber Cancer Institute,MA
DEE,Desert Regional Medical Center,CA
DEF,Dr Solomon Carter Fuller Mental,MA
